ve	en
bir	één
bir	eén
bir	een
bu	dat
bu	deze
bu	dit
de	zeg
de	zeggen
ile	met
için	voor
en	favorieten
daha	meer
sonra	straks
sonra	daarna
sonra	dan
sonra	na
ilk	eerst
ilk	eerste
çok	veel
çok	zeer
yer	locatie
yer	plaats
yer	ligging
yer	lokatie
gibi	zoals
dış	buitenste
büyük	enorme
büyük	groot
büyük	gigantisch
büyük	grote
büyük	reusachtig
büyük	enorm
bağlantılar	contacten
bağlantılar	aansluitingen
bağlantılar	connecties
bağlantılar	verbindingen
bağlantılar	contactpersonen
türkiye	turkije
iki	twee
ancak	echter
arasında	tussen
ayrıca	ook
ayrıca	naast
türk	turken
türk	turkse
türk	turks
diğer	overig
diğer	ander
diğer	overige
diğer	andere
yeni	nieuw
yeni	nieuwe
un	bloem
un	meel
her	ieder
her	elk
her	iedere
her	elke
aynı	zelfde
aynı	hetzelfde
bağlı	aangesloten
bağlı	verbonden
bağlı	gelinkt
bağlı	gehecht
bağlı	vastgebonden
bağlı	gekoppelde
bağlı	gekoppeld
bağlı	bijgevoegd
bağlı	gebonden
bağlı	bijgevoegde
iyi	prima
iyi	lekker
iyi	goed
ne	wat
ilgili	gerelateerd
ilgili	verwant
ilgili	interesse
ilgili	relevante
ilgili	geïnteresseerd
ilgili	gerelateerde
ilgili	verwante
son	einde
son	laatste
son	beëindigen
son	eind
alan	domein
alan	gebied
alan	veld
alan	oppervlakte
dünya	aarde
dünya	wereld
birlikte	samen
bulunan	gelokaliseerd
eski	oudjes
eski	oude
eski	ouwe
eski	oud
and	andes
önemli	belangrijke
önemli	belangrijk
önemli	hoogtepunten
madde	materie
madde	materiaal
madde	clausule
madde	artikel
madde	substantie
sağlık	welzijn
sağlık	medisch
sağlık	medische
sağlık	gezondheidszorg
sağlık	gezondheid
genel	algemeen
genel	algemene
genel	globaal
genel	generieke
genel	generaal
mart	marcheren
mart	maart
adı	naam
film	filmpje
film	film
film	bioscoop
film	films
haziran	juni
mayıs	mei
mayıs	moge
mayıs	mogen
mayıs	mag
dosya	bestand
dosya	dossiers
dosya	dossier
dosya	bestanden
ocak	januari
ocak	fornuis
ocak	kachel
yıl	jaar
avrupa	europese
avrupa	europees
ama	maar
karşı	toonbank
karşı	tegen
karşı	teller
toplam	totaal
toplam	globaal
toplam	som
toplam	levensduur
toplam	looptijd
ikinci	tweede
ağustos	augustus
içinde	binnenkant
içinde	binnen
temmuz	juli
önce	eerste
önce	eerst
önce	voordat
önce	vóór
tüm	hele
tüm	geheel
resim	schilderij
resim	foto
resim	schilderkunst
resim	imago
resim	verven
resim	beeld
resim	tekenen
resim	schilderen
resim	tekening
resim	afbeelding
üniversitesi	universiteit
ye	eten
ye	eet
ekim	oktober
ekim	lgo
şehir	stad
şehir	stedelijk
şehir	stedelijke
zaman	tijd
bazı	sommigen
bazı	enkele
bazı	sommige
köy	dorp
köy	dorpje
yüksek	hoog
yüksek	hogere
yüksek	hoger
yüksek	hoge
birçok	veel
birçok	velen
birçok	vele
şubat	februari
sadece	alleen
sadece	enkel
sadece	slechts
sadece	gewoon
yol	pad
yol	weg
yol	manier
fakat	maar
grup	groep
grup	fractie
takım	team
kendi	eigen
şekilde	manier
tek	alleenstaand
tek	vrijgezellen
tek	vrijgezel
tek	alleenstaande
bilgi	gegevens
bilgi	kennis
bilgi	informatie
kez	tijden
hakkında	ongeveer
hakkında	over
osmanlı	ottomanen
osmanlı	ottomaanse
devlet	regering
devlet	staat
devlet	overheid
devlet	gouvernementele
üç	drie
tarihi	geschiedenis
tarihi	datum
tarihi	historisch
tarihi	historische
başladı	begonnen
başladı	gestart
başladı	begon
başladı	opgestart
küçük	klein
