ve	그리고
bir	하나
bu	이거
ile	함께
en	즐겨찾기
daha	기타
sonra	그러면
sonra	그렇다면
sonra	그때
sonra	나중에
ilk	우선
ilk	처음
ilk	퍼스트
ilk	먼저
çok	아주
çok	매우
çok	많이
çok	훨씬
yer	장소
yer	위치
yer	공연장
büyük	거대
büyük	거대한
büyük	대형
bağlantılar	링크
bağlantılar	연결
bağlantılar	커넥션
bağlantılar	연락처
türkiye	칠면조
türkiye	터키
iki	두두
iki	두분
ancak	그러나
ayrıca	또한
türk	터키어
türk	투르크인
türk	투르크
türk	터키식
türk	터키
diğer	다른
diğer	기타
un	밀가루
her	꼴찌
aynı	똑같이
aynı	같은
aynı	동일
kulüp	클럽
bağlı	묶여
bağlı	바운드
bağlı	첨부
bağlı	첨부된
bağlı	연결됨
iyi	미세먼지
iyi	좋다
ilgili	관련성
ilgili	관심사
ilgili	관련
ilgili	관심
son	마지막
son	끝내기
son	종료
son	라스트
alan	면적
alan	도메인
alan	영역
alan	필드
alan	구역
alan	현장
alan	지역
dünya	대지
dünya	세상
dünya	월드
dünya	지구
dünya	세계
abd	미국
birlikte	함께
birlikte	같이
eski	늙은
eski	오래된
and	안데스
önemli	중요하다
önemli	하이라이트
önemli	중요
madde	기사
madde	물질
madde	조항
madde	소재
madde	재료
sağlık	의료
sağlık	웰빙
sağlık	보건
sağlık	체력
sağlık	건강
sağlık	의학
sağlık	헬스
genel	전반
genel	일반인
genel	일반
genel	장군
genel	전반적으로
genel	전체적으로
mart	행진
mart	행진곡
adı	이름
film	필름
film	영화
dosya	파일
ocak	일월
yıl	연도
avrupa	유럽
ama	근데
ama	그러나
ama	하지만
ama	그런데
karşı	카운터
toplam	평생
toplam	전반
toplam	총액
toplam	전체
toplam	전반적으로
toplam	합계
toplam	전체적으로
ikinci	두번째
ikinci	둘째
eylül	구월
ağustos	아우구스트
içinde	인사이드
içinde	내부
önce	퍼스트
önce	이전
önce	먼저
önce	전에
önce	우선
önce	처음
nisan	사월
nisan	에이프릴
resim	사진
resim	그리기
resim	그림
resim	이미지
üniversitesi	대학교
üniversitesi	대학
ye	먹기
ye	먹어
şehir	마을
şehir	도시
şehir	시내
şehir	타운
şehir	시티
zaman	타임
zaman	시간
bazı	일부
aralık	간격
aralık	적위
aralık	구간
köy	빌리지
köy	마을
yüksek	하이
yüksek	높음
birçok	많은
sadece	그냥
sadece	오직
sadece	단발
sadece	단지
yol	경로
yol	로드
yol	웨이팅
yol	웨이
yol	도로
yol	노선
fakat	근데
fakat	그러나
fakat	하지만
fakat	그런데
grup	집단
grup	그룹
grup	밴드
takım	스쿼드
takım	분대
kendi	소유
şekilde	웨이
şekilde	웨이팅
tek	단일
tek	싱글
bilgi	지식
bilgi	지식인
bilgi	정보
kez	타임즈
kez	타임스
hakkında	대략
hakkında	소개
osmanlı	오스만
devlet	국가
devlet	상태
devlet	정부
tarihi	데이트
tarihi	내역
tarihi	역사
tarihi	기록
tarihi	날짜
tarihi	히스토리
başladı	시작되었습니다
başladı	시작했습니다
başladı	시작됨
küçük	작아
küçük	리틀
küçük	소작
müzik	음악
müzik	뮤직
gelen	수신
resmi	사진
resmi	공식
resmi	그림
kabul	수락
kabul	합격
kabul	합의
kabul	동의
devam	계속하기
devam	계속
devam	유지
fazla	초과
okulu	학원
okulu	학교는
okulu	스쿨
okulu	학교
aldı	받음
aldı	받았습니다
aldı	받은
em	빨아
sahip	피처링
farklı	다르다
farklı	달라
farklı	다름
futbol	풋볼
futbol	미식축구
futbol	축구
ileti	메시지
ileti	메세지
doğru	올바른
doğru	오른쪽
doğru	정확도
doğru	정확한
doğru	정답
tarım	농업
tarım	농장
tarım	농지
tarım	농사
özel	스페셜
özel	특별
özel	독점
özel	커스텀
özel	특별한
özel	단독
özel	특수
özel	비공개
özel	맞춤
biri	누군가
biri	하나
alanı	면적
alanı	영역
alanı	필드
alanı	구역
alanı	현장
alanı	지역
vikipedi	위키백과의
vikipedi	위키백과
uzun	연장
uzun	확장
şarkı	노래
şarkı	송송
lig	동맹
lig	리그
orta	중심
orta	미디어
orta	센터
orta	중앙
orta	중간
orta	중순
orta	미드
orta	미디엄
orta	가운데
oyuncu	플레이어
oyuncu	재생기
oyuncu	여배우
oyuncu	배우
oyuncu	선수
geri	뒤로
geri	다시
mesaj	메시지
mesaj	문자
mesaj	텍스트
mesaj	문구
mesaj	메세지
elektrik	전력
elektrik	전기
merkezi	중심
merkezi	중부
merkezi	센터
merkezi	중앙
merkezi	센트럴
kısa	짧은
kısa	쇼트
kısa	짧게
güney	사우스
güney	남방
güney	남부
güney	남쪽
almanya	독일
kişi	사람
değil	아님
kuzey	노스
kuzey	북부
kuzey	북쪽
çeşitli	기타
çeşitli	다양하다
çeşitli	버라이어티
çeşitli	다양체
açıklama	자막
açıklama	문구
açıklama	설명
açıklama	묘사
bilgileri	정보
fransa	프랑스
ingilizce	영어
ingilizce	잉글리시
amerika	미국
amerika	아메리카
el	핸드
burada	여기에
burada	여기
yok	없음
gol	호야
gol	목표
gol	호수
ana	엄마
ana	메인
ana	어머니
suyu	주스
suyu	쥬스
