что	อะไร
для	สำหรับ
для	เพื่อ
как	เหมือน
как	แบบ
как	ไลค์
как	วิธี
как	อย่าง
как	ถูกใจ
как	ชอบ
его	เขา
также	ยัง
это	นั่น
это	ว่า
это	นี่
это	นี้
это	ดิส
это	นั้น
это	ที่
после	หลัง
области	พื้นที่
области	บริเวณ
год	ปี
время	เวลา
место	ตำแหน่งที่ตั้ง
место	จุด
место	ตำแหน่ง
район	เขต
район	อำเภอ
район	พื้นที่
район	บริเวณ
вид	ดู
под	ใต้
только	แค่
только	เท่านั้น
только	เฉพาะ
есть	มี
есть	โดน
язык	ลิ้น
язык	ภาษา
код	โค้ด
код	รหัส
более	มากกว่า
более	อื่นๆ
мая	พฤษภาคม
дата	เดท
ноября	พฤศจิกายน
деревня	หมู่บ้าน
где	ที่ไหน
января	มกราคม
марта	มีนาคม
марта	มาร์ช
все	ทุก
все	ทั้งหมด
том	ทอม
октября	ตุลาคม
сентября	กันยา
сентября	กันยายน
статьи	บทความ
июня	มิถุนายน
июня	จูน
апреля	เมษายน
сша	สหรัฐอเมริกา
сша	สหรัฐฯ
который	ซึ่ง
название	ชื่อ
человек	ชาย
человек	มนุษย์
человек	คน
человек	บุคคล
человек	แมน
лет	ปี
февраля	กุมภาพันธ์
того	โตโก
города	นคร
города	ซิตี้
города	เมือง
может	บางที
может	สามารถ
может	สา
она	นาง
она	หล่อน
она	เธอ
войны	สงคราม
можно	สามารถ
можно	สา
когда	เมื่อ
когда	เมื่อไร
когда	ตอน
которые	ซึ่ง
село	หมู่บ้าน
статья	ข่าว
статья	บทความ
один	ลำพัง
один	หนึ่ง
один	เดียว
реки	แม่น้ำ
реки	ลำน้ำ
между	ระหว่าง
статус	สถานภาพ
статус	สถานะ
населения	ประชากร
годы	ปี
через	ผ่าน
национальный	ชาติ
область	พื้นที่
область	จังหวัด
область	ภูมิภาค
область	แคว้น
область	บริเวณ
список	รายการ
сельское	ชนบท
сайт	ไซต์
сайт	เว็บไซต์
века	อายุ
века	ยุค
века	ศตวรรษ
века	วัย
официальный	ทางการ
часть	ส่วน
часть	ภาค
против	ต่อ
этот	ดิส
этот	นี้
этот	นี่
будет	วิล
будет	จะ
будет	พิน
несколько	หลายๆ
несколько	หลาย
город	ซิตี้
город	ทาวน์
город	เมือง
мира	สันติ
мира	สันติภาพ
мира	สันติสุข
первое	ก่อน
первое	แรก
чем	กว่า
части	อะไหล่
всего	รวม
всего	ทั้งหมด
первый	ก่อน
первый	แรก
файл	แฟ้ม
карты	บัตร
карты	การ์ด
карты	แผนที่
карты	ไพ่
два	สอง
всех	ทุก
всех	ทั้งหมด
там	มี
второй	วินาที
очень	มาก
главы	บท
карта	บัตร
карта	การ์ด
карта	แผนที่
карта	ไพ่
площадь	ตาราง
площадь	พลาซ่า
площадь	พื้นที่
площадь	บริเวณ
даже	แม้ว่า
даже	แม้
даже	แม้แต่
даже	แม้น
затем	งั้น
группы	กลุ่ม
основания	บริเวณ
размер	ขนาด
размер	ไซส์
имеет	ทรง
почтовый	ไปรษณีย์
над	โอเวอร์
над	จบ
над	เหนือ
страны	ประเทศ
ему	เขา
индекс	ดัชนี
улица	ถนน
население	ประชากรศาสตร์
население	ประชากร
работы	งาน
работы	ทำงาน
имена	ชื่อ
истории	ประวัติศาสตร์
истории	ประวัติการ
истории	ประวัติ
которая	ซึ่ง
армии	กองทัพ
армии	ทัพ
деление	ดิวิชั่น
хотя	แม้ว่า
кроме	ยกเว้น
другие	อื่นๆ
получил	มี
получил	โดน
история	ประวัติศาสตร์
история	เรื่อง
история	ประวัติการ
история	ประวัติ
совета	สภา
фильм	ฟิล์ม
фильм	ภาพยนตร์
фильм	ภาพยนต์
фильм	หนัง
рождения	เกิด
рождения	กำเนิด
пункты	รายการ
времени	เวลา
участник	สมาชิก
страница	เพจ
страница	หน้า
три	สาม
человека	มนุษย์
республики	สาธารณรัฐ
внутреннее	ภายใน
статей	บทความ
случае	กรณี
случае	คดี
центр	กึ่งกลาง
центр	กลาง
центр	ศูนย์
центр	ศูนย์กลาง
округ	เขต
округ	มณฑล
округ	เปรม
округ	อำเภอ
жизни	ชีวิต
генерал	ทั่วไป
генерал	แม่ทัพ
родился	เกิด
союза	สหพันธ์
союза	สหภาพแรงงาน
союза	สหภาพ
кто	ผู้
кто	ใคร
связи	สื่อสาร
связи	ลิงก์
день	วัน
день	เดย์
именно	เป๊ะ
община	ชุมชน
округа	เขต
франции	ฝรั่งเศส
группа	กลุ่ม
имя	ชื่อ
игры	เกม
игры	เกมส์
цифровой	ดิจิตอล
просто	แค่
регион	แคว้น
регион	ภูมิภาค
тогда	งั้น
конце	จบ
конце	ยุติ
церкви	ศาสนจักร
церкви	โบสถ์
клуб	คลับ
клуб	ชมรม
клуб	สโมสร
больше	มากกว่า
больше	อื่นๆ
наиболее	ที่สุด
изображения	ภาพ
изображения	รูปภาพ
изображения	อิมเมจ
советский	โซเวียต
степени	ปริญญา
степени	องศา
изображение	ภาพ
изображение	รูปภาพ
изображение	อิมเมจ
награды	รางวัล
перед	ก่อน
германии	เยอรมัน
германии	เยอรมนี
системы	ระบบ
стороны	ข้าง
стороны	ปาร์ตี้
стороны	ด้าน
совет	สภา
академии	สถาบัน
две	สอง
некоторые	บาง
некоторые	บ้าง
менее	น้อย
роль	บทบาท
дом	เฮ้าส์
дом	บาน
дом	ดอม
дом	บ้าน
высоты	ไฮท์
русский	รัสเซีย
член	องคชาติ
член	ดิ๊ค
член	จู๋
член	ดิ๊ก
член	สมาชิก
орден	ลำดับ
сын	ลูก
сын	ลูกชาย
сын	บุตร
пока	บาย
общины	ชุมชน
число	จำนวน
число	หมายเลข
эта	ดิส
эта	นี้
эта	นี่
нужно	ต้องการ
большой	บิ๊ก
большой	ใหญ่
количество	จำนวน
количество	ปริมาณ
количество	หมายเลข
являются	กำลัง
являются	คือ
институт	สถาบัน
компании	องค์กร
компании	บริษัท
церковь	ศาสนจักร
церковь	โบสถ์
советского	โซเวียต
проект	ร่าง
проект	โครงการ
много	มาก
много	หลาย
много	มากมาย
сельский	ชนบท
вопрос	คำถาม
новый	ใหม่
новый	นิว
фильмы	ภาพยนตร์
фильмы	ภาพยนต์
фильмы	หนัง
часто	มัก
часто	บ่อยๆ
часто	บ่อย
почти	เกือบ
партии	ปาร์ตี้
глава	บท
настоящее	ปัจจุบัน
стали	เหล็ก
европы	ยุโรป
организации	องค์กร
организации	องค์การ
река	แม่น้ำ
альбом	อัลบั้ม
одна	ลำพัง
одна	หนึ่ง
одна	เดียว
станции	สถานี
людей	ผู้คน
людей	ผู้
людей	คน
людей	บุคคล
людей	ประชาชน
возможно	บางที
пояс	เข็มขัด
пояс	สายพาน
команды	ทีม
ссылки	อ้างอิง
ссылки	ลิงก์
многие	หลาย
многие	มากมาย
жизнь	ชีวิต
серии	ซีรี่ส์
серии	อนุกรม
участники	สมาชิก
начал	เริ่ม
проекта	โครงการ
команда	ทีม
команда	หน่วย
команда	หมู่
достаточно	พอ
краткое	กระชับ
позже	ทีหลัง
другой	อื่นๆ
источники	แหล่ง
данные	อินเทอร์เน็ต
данные	ข้อมูล
война	สงคราม
школы	โรงเรียน
герой	ฮีโร่
герой	วีรบุรุษ
михаил	ไมเคิล
михаил	ไมเคิ้ล
текст	ข้อความ
первая	ก่อน
первая	แรก
песни	เพลง
которое	ซึ่ง
женщин	สตรี
женщин	หญิง
книги	หนังสือ
полностью	ครบ
полностью	สุดๆ
полностью	สมบูรณ์
честь	เกียรติ
честь	เกียรติยศ
звание	อันดับ
деятельность	กิจกรรม
еще	มากกว่า
еще	อื่นๆ
данных	อินเทอร์เน็ต
данных	ข้อมูล
берегу	ชายฝั่ง
берегу	ฝั่ง
итог	ผลลัพธ์
россия	รัสเซีย
села	นั่ง
названия	ชื่อ
сан	แซน
сан	ซาน
должен	ต้อง
должен	ควร
права	สิทธิ
права	สิทธิ์
король	ราชา
король	คิง
король	กษัตริย์
края	ขอบ
умер	ตาย
власти	ทางการ
службы	บริการ
система	ระบบ
университет	มหาวิทยาลัย
должны	ต้อง
должны	ควร
слова	คำ
слова	ลมปาก
флаг	ธงชาติ
флаг	ธง
версии	เวอร์ชั่น
версии	เวอร์ชัน
различных	ต่าง
вновь	อีก
отец	พ่อ
общества	สังคม
обсуждение	อภิปราย
многих	หลาย
многих	มากมาย
детей	เด็กๆ
детей	เด็ก
детей	ลูกๆ
источник	ต้นทาง
члены	สมาชิก
должность	จุดยืน
должность	ตำแหน่ง
обсуждения	อภิปราย
действия	กิจกรรม
музей	พิพิธภัณฑ์
ряд	แถว
душу	วิญญาณ
дома	บาน
дома	บ้าน
некоторых	บาง
некоторых	บ้าง
почему	ทำไม
школа	โรงเรียน
выше	เหนือ
чел	มนุษย์
чел	คน
чел	ชาย
чел	แมน
земли	ที่ดิน
земли	แลนด์
правила	กติกา
правила	กฎ
правила	กฏ
линии	บรรทัด
линии	เส้น
места	ตำแหน่งที่ตั้ง
ссылка	ลิงค์
ссылка	อ้างอิง
ссылка	ลิงก์
компания	องค์กร
компания	บริษัท
используется	ใช้
тысяч	พัน
начало	เริ่ม
италии	อิตาลี่
италии	อิตาลี
положение	จุดยืน
положение	สถานการณ์
положение	ตำแหน่ง
мужчин	ผู้ชาย
мужчин	บุรุษ
мужчин	ชาย
северной	เหนือ
северной	อุดร
острова	เกาะ
дело	กรณี
дело	คดี
станция	สถานี
профессор	ศาสตราจารย์
американский	อเมริกัน
право	กฎหมาย
право	กฎ
великобритании	บริติช
великобритании	อังกฤษ
чемпион	แชมป์
шаблоны	ต้นแบบ
правило	กฎ
правило	ปกครอง
правило	กฏ
роли	บทบาท
сезон	ฤดูกาล
люди	ผู้คน
люди	ผู้
люди	คน
люди	บุคคล
люди	ประชาชน
управление	ควบคุม
управление	คอนโทรล
сделать	ทำให้
длина	ยาว
хорошо	ดี
хорошо	เก่ง
хорошо	โอเค
вместо	แทน
тип	พิมพ์
тип	ชนิด
тип	ประเภท
кладбище	สุสาน
кладбище	ป่าช้า
средняя	กลาง
средняя	เฉลี่ย
художник	จิตรกร
художник	ศิลปิน
российская	รัสเซีย
одно	หนึ่ง
одно	เดียว
возможность	โอกาส
какой	อะไร
премия	รางวัล
премия	พรีเมียม
новые	ใหม่
новые	นิว
основные	หลัก
всегда	ตลอด
всегда	เสมอ
всегда	มัก
южной	ใต้
метров	เมตร
практически	เกือบ
корпуса	คอร์ป
президент	ประธาน
президент	ประธานาธิบดี
четыре	สี่
стоит	คุ้ม
стоит	มูลค่า
информация	ข้อมูล
большая	บิ๊ก
большая	ใหญ่
большинство	ที่สุด
кино	ฟิล์ม
кино	ภาพยนตร์
кино	ภาพยนต์
кино	หนัง
номер	จำนวน
номер	หมายเลข
деревни	หมู่บ้าน
силы	แรง
силы	บังคับ
внимание	ใส่ใจ
внимание	โฟกัส
внимание	สนใจ
примерно	คร่าวๆ
движения	จราจร
роман	นิยาย
роман	นวนิยาย
роман	โรมัน
дней	วัน
новых	ใหม่
новых	นิว
клубы	คลับ
клубы	ดอกจิก
клубы	จิก
клубы	สโมสร
джон	จอห์น
джон	จอร์น
джон	จอน
граф	นับ
граф	กราฟ
граф	จำนวนนับ
процент	เปอร์เซ็นต์
процент	เปอร์เซนต์
провинции	จังหวัด
новая	ใหม่
новая	นิว
мини	จิ๋ว
памятник	อนุสาวรีย์
каждый	แต่ละ
каждый	ทุก
каждый	ทุกๆ
потом	งั้น
герб	สมุนไพร
счёт	บัญชี
счёт	แต้ม
счёт	คะแนน
счёт	สกอร์
книга	สมุด
книга	หนังสือ
отношения	สัมพันธ์
доктор	หมอ
доктор	ดอกเตอร์
доктор	แพทย์
использовать	ใช้
стран	ประเทศ
заголовок	ชื่อ
заголовок	หัวข้อ
всем	ทุก
всем	ทั้งหมด
здание	ตึก
здание	อาคาร
слово	คำ
дочь	ลูกสาว
последний	สุดท้าย
последний	ล่าสุด
правил	กติกา
правил	กฎ
правил	กฏ
точки	แต้ม
точки	คะแนน
точки	จุด
точки	ชี้
мария	แมรี่
мария	แมรี
коммуна	คอมมูน
партия	ปาร์ตี้
партия	พรรค
страницы	หน้าที่
страницы	เพจ
страницы	หน้า
спасибо	ขอบคุณ
позднее	ทีหลัง
получила	มี
получила	โดน
председатель	ประธาน
председатель	ประธานาธิบดี
председатель	เก้าอี้
моря	ทะเล
страна	ประเทศ
вариант	แปรผัน
дороги	ถนน
русские	รัสเซีย
мир	สันติภาพ
мир	เวิลด์
мир	โลก
мир	สันติ
мир	สันติสุข
работа	งาน
работа	ทำงาน
японии	ญี่ปุ่น
серия	ซีรี่ส์
серия	ตอน
серия	อนุกรม
песня	ซง
песня	เพลง
вопросы	คำถาม
испании	สเปน
завод	โรงงาน
завод	ต้นไม้
завод	พืช
штат	รัฐ
штат	สภาพ
проблемы	ปัญหา
проблемы	ท้าทาย
ниже	ลด
ниже	ล่าง
ниже	ต่ำ
рядом	ใกล้
найти	ค้นหา
найти	หา
развитие	พัฒนา
развитие	พัฒนาการ
лиги	สันนิบาต
лиги	ลีก
друг	เพื่อน
считается	จำนวนนับ
рок	โยก
рок	หิน
рок	ร็อค
мой	เหมือง
журнал	วารสาร
журнал	นิตยสาร
значение	ค่า
значение	มูลค่า
производства	ผลิต
премьер	พรีเมียร์
сначала	ก่อน
сначала	แรก
действительно	จริงๆ
действительно	แท้จริง
действительно	จริง
игра	เกม
игра	เกมส์
решения	โซลูชัน
строительство	ก่อสร้าง
строительство	ตึก
строительство	อาคาร
пункт	ย่อหน้า
мать	แม่
старший	อาวุโส
снова	อีก
здания	ตึก
здания	อาคาร
тренер	โค้ช
тренер	โค๊ช
поле	ช่อง
поле	ทุ่ง
поле	ฟิลด์
поле	สาขา
поле	สนาม
написал	เขียน
значения	ค่า
пути	วิถี
пути	วิธี
женщины	สตรี
женщины	หญิง
труда	แรงงาน
майор	เมเจอร์
провинция	จังหวัด
программы	โปรแกรม
храм	วัด
храм	วิหาร
исследования	ศึกษา
исследования	ค้นคว้า
исследования	วิจัย
какие	อะไร
обороны	ป้องกัน
сообщения	สื่อสาร
сообщения	ข้อความ
раздел	ส่วน
матч	แมตช์
быстро	ด่วน
быстро	เร็ว
быстро	รวดเร็ว
быстро	ไว
удаление	ลบ
влияние	อิทธิพล
епископ	บิชอป
максимальная	สูงสุด
англии	อังกฤษ
капитан	กัปตัน
работает	ทำงาน
довольно	สวยๆ
довольно	สวย
должно	ต้อง
интернет	อินเตอร์เน็ต
интернет	อินเทอร์เน็ต
руководитель	ผู้นำ
армия	กองทัพ
армия	ทัพ
степень	ปริญญา
лейтенант	หมวด
науки	วิทยาศาสตร์
версия	เวอร์ชั่น
версия	เวอร์ชัน
школе	โรงเรียน
думаю	คิด
думаю	เดา
воды	นํ้า
воды	น้ำ
титул	ชื่อ
стадион	สนาม
деревне	ชนบท
деревне	หมู่บ้าน
кубок	คัพ
кубок	ถ้วย
пять	ห้า
движение	ขบวนการ
движение	จราจร
движение	เคลื่อนไหว
теории	ทฤษฎี
святой	ศักดิ์สิทธิ์
святой	เซนต์
святой	ศีล
святой	นักบุญ
союз	สหพันธ์
союз	สหภาพแรงงาน
союз	สหภาพ
ван	แวง
ван	แวน
ван	วัง
удалить	ลบ
остров	เกาะ
прав	สิทธิ
прав	สิทธิ์
операции	ธุรกรรม
французский	ฝรั่งเศส
издание	ฉบับ
необходимо	จำเป็น
результаты	ผลลัพธ์
результаты	ผล
павел	พอล
золотой	ทองคำ
золотой	ทอง
золотой	โกลด์
золотой	โกลเด้น
последние	สุดท้าย
последние	ล่าสุด
известный	ดัง
использование	ใช้
немецкий	เยอรมัน
совершенно	สมบูรณ์
совершенно	สุดๆ
очередь	พลิก
очередь	คิว
очередь	เลี้ยว
очередь	หัน
очередь	เปิด
мог	สามารถ
термин	วาระ
вокруг	รอบๆ
вокруг	รอบ
вторая	วินาที
дети	เด็กๆ
дети	เด็ก
дети	ทารก
дети	ลูกๆ
карьера	อาชีพ
франция	ฝรั่งเศส
должности	โพสต์
должности	จุดยืน
должности	ตำแหน่ง
семьи	ครอบครัว
семьи	ตระกูล
военный	กองทัพ
военный	ทหาร
английский	อังกฤษ
числа	ตัวเลข
числа	หมายเลข
создание	สร้าง
азии	เอเชีย
азии	บอล
писать	เขียน
корпус	คอร์ป
членов	สมาชิก
позиции	จุดยืน
позиции	ตำแหน่ง
речь	สุนทรพจน์
жена	ภรรยา
жена	เมีย
жена	ภริยา
альбомы	อัลบั้ม
центральной	เซ็นทรัล
правительство	รัฐบาล
правительство	ราชการ
знак	เซ็น
знак	ป้าย
знак	ลงชื่อ
энциклопедия	สารานุกรม
поэт	กวี
революции	ปฏิวัติ
заместитель	ปลัด
парк	สวน
парк	จอด
уровня	เลเวล
уровня	ระดับ
возможности	โอกาส
позволяет	อนุญาต
ран	แผล
ран	บาดแผล
фамилия	นามสกุล
фамилия	สกุล
оставить	ทิ้ง
начальник	หัวหน้า
брат	น้อง
писал	เขียน
могу	สามารถ
могу	สา
цвета	สีสัน
цвета	สี
победы	ชัยชนะ
середине	มิด
единицы	หน่วย
единицы	ยูนิต
интервью	สัมภาษณ์
путь	หนทาง
путь	ทาง
путь	พาธ
путь	วิถี
путь	วิธี
новое	ใหม่
новое	นิว
бывший	อดีต
книг	หนังสือ
шоу	โชว์
шоу	แสดง
республика	สาธารณรัฐ
участок	วางแผน
участок	พล็อต
темп	จังหวะ
фильмов	ภาพยนตร์
служил	เสิร์ฟ
организация	มโน
организация	องค์กร
организация	องค์การ
красного	เรด
красного	แดง
события	เหตุการณ์
события	กิจกรรม
изменения	เปลี่ยน
изменения	เปลี่ยนแปลง
производство	ผลิต
прежде	ก่อน
играл	เล่น
море	ชายทะเล
море	ทะเล
век	ศตวรรษ
сети	ตาข่าย
гитара	กีต้าร์
гитара	กีตาร์
гражданство	พลเมือง
гражданство	สัญชาติ
вице	รอง
научный	วิทยาศาสตร์
стиль	สไตล์
назад	กลับ
военных	กองทัพ
военных	ทหาร
границы	ขอบ
границы	ขอบเขต
границы	พรมแดน
границы	กรอบ
границы	ชายแดน
учился	ศึกษา
городов	นคร
городов	เมือง
процесс	กระบวนการ
скорость	ความเร็ว
суда	เส้นเลือด
похоронен	ฝัง
музыка	เพลง
музыка	ดนตรี
музыка	มิวสิค
текста	ข้อความ
факультет	คณาจารย์
факультет	คณะ
политики	การเมือง
пик	พีค
пик	รูป
создан	สร้าง
любой	ใดๆ
национальная	ชาติ
пост	โพสต์
пост	โพส
карл	คาร์ลอ
карл	คาร์ล
край	ขอบ
тела	ร่าง
тела	ร่างกาย
тела	กาย
общество	สังคม
явно	ชัด
вида	beef
польши	โปแลนด์
часов	ชั่วโมง
виды	ชนิด
виды	ประเภท
первоначально	เดิมที
исследований	ศึกษา
исследований	ค้นคว้า
исследований	วิจัย
