மற்றும்	وال
ஒரு	واحد
ஒரு	واحدة
ஒரு	واحده
ஒரு	احد
இந்த	هذه
இந்த	هؤلاء
இந்த	هذا
ஆம்	نعم
ஆம்	بلى
ஆம்	حاضر
ஆம்	اجل
இது	هذه
இது	هذا
மக்கள்	اشخاص
மக்கள்	الناس
மக்கள்	شعوب
மக்கள்	الشعوب
மக்கள்	اناس
மக்கள்	ناس
மக்கள்	الاشخاص
என்ற	ال
என்ற	بعنوان
என்ற	المستمدة
ஆண்டு	السنه
ஆண்டு	عام
ஆண்டு	سنه
ஆண்டு	السنة
ஆண்டு	سنة
ஆண்டு	العام
என்று	ذلك
என்று	هذا
தமிழ்	تاميل
தமிழ்	التاميل
இந்திய	هندية
இந்திய	هندي
இந்திய	الهندي
இந்திய	الهندية
இருந்து	من
பல	كثير
பல	متعدد
பல	العديد
பல	كثيرون
பல	الكثيرون
பல	الكثير
பல	المتعددة
பல	تعدد
பல	متعددة
முதல்	اولا
முதல்	اول
முதல்	من
முதல்	الاول
முதல்	الاولى
மேலும்	اكثر
மேலும்	مزيد
மேலும்	اكتر
மேலும்	المزيد
தொகை	المبلغ
சில	قليلة
சில	قليلون
சில	قلة
சில	بعض
சில	البعض
உள்ளது	متوفر
உள்ளது	تتوفر
உள்ளது	متاحة
உள்ளது	متوفرة
உள்ளது	متاح
அவர்	هي
அவர்	هو
அவர்	له
அவர்	لها
இருக்கும்	قائم
இருக்கும்	موجود
வெளி	خارجية
வெளி	مساحة
வெளி	فضاء
வெளி	حيز
வெளி	الفضاء
வெளி	خارجي
வெளி	الخارجية
மூலம்	الاصلية
மூலம்	مصدر
மூலம்	المصدر
மூலம்	اصلية
மூலம்	الاصلي
மூலம்	اصلي
மூலம்	الاصل
கொண்ட	احتواء
வரை	حتى
வரை	رسم
வரை	ارسم
பின்னர்	ثم
பின்னர்	لاحق
பின்னர்	اذن
பின்னர்	بعدها
பின்னர்	اذا
பின்னர்	لاحقا
ஆனால்	لكن
ஆனால்	بس
ஆனால்	ولكن
வேண்டும்	الحاجة
வேண்டும்	ينبغي
வேண்டும்	حاجة
வேண்டும்	اريد
கொண்டு	احضرت
கொண்டு	احضر
கொண்டு	جلبت
கொண்டு	مع
கொண்டு	احضار
கொண்டு	جلب
