در	deur
رده	klas
رده	klasse
از	van
از	vanaf
از	uit
که	wie
که	dat
این	deze
این	dit
را	de
را	het
را	maak
را	maken
با	met
میلادی	decennium
یک	één
یک	eén
یک	een
سال	jaar
سال	jaren
ایران	iraanse
برای	voor
شهرستان	graafschap
آمریکا	amerika
فهرست	rooster
فهرست	catalogus
فهرست	lijstje
فهرست	lijst
دارد	heeft
او	ze
او	hem
او	zij
او	zijn
او	haar
تا	tot
تا	mogen
تا	mei
تا	mag
تا	moge
وابسته	geassocieerde
وابسته	geassocieerd
وابسته	adjectief
وابسته	afhankelijke
وابسته	afhankelijk
فوتبال	voetballen
فوتبال	voetbal
ساعت	uurtje
ساعت	openingstijden
ساعت	uur
ساعت	klok
ساعت	uren
پایه	funderingen
پایه	stichting
پایه	basis
پایه	grondslag
پایه	stichtingen
پایه	fundamentele
پایه	fundamenten
پایه	grondslagen
پایه	fundering
نام	naam
استان	provincie
استان	regio
شهر	stad
ملی	nationaal
ملی	nationale
کشور	land
تاریخ	datum
تاریخ	geschiedenis
فیلم	filmpje
فیلم	film
فیلم	bioscoop
فیلم	films
بخش	departement
بخش	sectie
بخش	afdeling
جمعیت	bevolking
جمعیت	populatie
جمعیت	menigte
دو	twee
پس	daarna
پس	dan
یکی	één
یکی	eén
یکی	iemand
یکی	een
بازیکنان	spelers
آثار	artefacten
آثار	uitwerkingen
آثار	gevolgen
آثار	kunstvoorwerpen
آثار	effecten
روستاهای	dorpjes
روستاهای	dorpen
دیگر	ander
دیگر	overige
دیگر	overig
دیگر	meer
دیگر	overigen
دیگر	andere
دیگر	anderen
می	mei
می	moge
می	mogen
می	mag
عنوان	onderschrift
عنوان	titel
پیوند	obligatie
پیوند	verbonden
پیوند	gelinkt
پیوند	gekoppelde
پیوند	binding
پیوند	gekoppeld
پیوند	koppeling
پیش	voordat
پیش	vóór
بحث	discussie
بحث	discussies
بیرون	eruit
بیرون	uit
افراد	mensen
افراد	personen
دوره	periode
دوره	koers
دوره	tijdvak
دوره	tijdperk
دوره	cursus
دهه	decennia
دهه	decennium
متر	meter
متر	meters
کاربر	gebruiker
مناطق	oppervlakten
مناطق	gebieden
مناطق	districten
مناطق	wijken
هر	ieder
هر	elk
هر	iedere
هر	elke
باشگاه	sportschool
شهرهای	gemeenten
دانشگاه	hogeschool
دانشگاه	universiteit
مورد	geval
مورد	zaak
سده	eeuw
ثبت	loggen
ثبت	houtkap
ثبت	logboek
وجود	bestaan
زبان	talen
زبان	taal
زبان	tong
زبان	taalgebruik
زادگان	afstammeling
مسکونی	residentiële
شماره	nummer
شماره	aantal
شماره	getal
کار	werkend
کار	werken
کار	arbeid
کار	werk
کار	baan
کار	werkende
اما	maar
بازیگران	actoren
بازیگران	filmen
بازیگران	acteurs
روی	zink
فرودگاه	luchthaven
فرودگاه	vliegveld
صورت	aangezicht
صورت	gezicht
صورت	gelaat
مرکز	centreren
مرکز	centrum
زمان	tijd
شرکت	onderneming
شرکت	gezelschap
شرکت	bedrijf
شرکت	deelnemen
مقاله	opstel
مقاله	artikel
مقاله	artikels
مقاله	artikelen
انگلیسی	engels
انگلیسی	engelsen
نظر	reactie
نظر	opmerking
نظر	mening
نظر	commentaar
نظر	advies
جهانی	universeel
جهانی	internationaal
جهانی	globaal
جهانی	wereld
جهانی	wereldwijd
جهانی	universele
جهانی	mondiale
همچنین	ook
همچنین	evenzo
زندگی	levende
زندگی	leven
زن	vrouwelijk
زن	vrouwelijke
زن	vrouw
زن	vrouwtje
زن	echtgenote
زیر	onder
زیر	hieronder
آنها	zij
آنها	ze
آنها	hen
هستند	zijn
جوایز	onderscheidingen
جوایز	prijsuitreiking
روستا	dorp
روستا	dorpje
تهران	teheran
بازی	speel
بازی	spelen
بازی	spelletje
بازی	spellen
بازی	spelletjes
بازی	wedstrijd
بازی	afspelen
بازی	spel
تاریخی	historisch
تاریخی	historische
سرشماری	volkstelling
فرانسه	frankrijk
فرانسه	fransen
فرانسه	franse
فرانسه	frans
جنگ	oorlog
باید	moeten
باید	moet
دست	handen
دست	handjes
شورای	raad
محل	locatie
محل	plaats
محل	ligging
محل	lokatie
توابع	functies
کتاب	boek
کتاب	boeken
آلمان	duits
آلمان	duitsland
آلمان	duitse
سطح	niveaus
سطح	oppervlak
سطح	niveau
سطح	bovengronds
اصلی	belangrijkste
اصلی	originele
اصلی	primaire
اصلی	primair
اصلی	oorspronkelijke
اصلی	origineel
اصلی	voornaamste
ساخت	opbouw
ساخت	fabricage
ساخت	constructie
ساخت	bouw
ساخت	bouwnijverheid
ساخت	bouwen
المپیک	olympische
المپیک	olympisch
اول	eerst
اول	eerste
سازمان	agentschap
سازمان	organisatie
سازمان	bureau
سه	drie
دارای	gerenommeerde
کند	doet
مرکزی	gecentreerd
ایالت	staat
زنده	levend
فارسی	perzische
فارسی	perzisch
بین	boontje
بین	tussen
بین	boon
انگلستان	engeland
دوم	tweede
موسیقی	muziek
گروه	groep
گروه	fractie
جایزه	gunning
جایزه	onderscheiding
بیشتر	meer
بیشتر	meest
بیشتر	meesten
بیشتر	meeste
جنوبی	zuid
جنوبی	zuiden
جنوبی	zuidelijk
روز	dag
روز	dagje
روز	overdag
جمهوری	republiek
مرگ	dood
مرگ	doods
مرگ	overlijden
ولی	maar
آمریکایی	amerikaans
آمریکایی	amerikaan
آمریکایی	amerikaanse
نقش	rol
منطقه	oppervlakte
منطقه	gebied
منطقه	regio
بسیار	veel
بسیار	zeer
بسیار	velen
بسیار	vele
اسلامی	islamitisch
اسلامی	islamitische
بزرگ	groot
بزرگ	grote
روستایی	boer
روستایی	dorpeling
آمار	statistieken
آمار	statistiek
فعالیت	activiteit
زاده	geboren
محمد	mohammed
بریتانیا	britse
بریتانیا	brits
بریتانیا	brittannië
بریتانیا	britten
مانند	zoals
چند	paar
چند	weinig
چند	weinigen
شمالی	noord
شمالی	noorden
خورشیدگرفتگی	zonsverduistering
خورشیدگرفتگی	eclips
خورشیدگرفتگی	verduistering
ایرانی	perzische
ایرانی	perzisch
ایرانی	iraans
ایرانی	iraanse
اطلاعات	gegevens
اطلاعات	informatie
ایجاد	creëren
ایجاد	creëer
ایجاد	construeren
ایجاد	creatie
ایجاد	aanmaken
ایجاد	maken
ایجاد	schepping
مالک	baasje
مالک	eigenaar
امنیت	beveiliging
امنیت	veiligheid
نوع	typ
نوع	soort
مردم	mensen
مردم	personen
دلیل	reden
دلیل	oorzaak
دلیل	rede
دلیل	veroorzaken
روستای	dorp
روستای	dorpje
دور	weg
دور	ver
مربوط	gerelateerd
مربوط	verwant
مربوط	relevante
مربوط	gerelateerde
مربوط	verwante
بار	laad
بار	laden
دریا	zee
شما	jou
شما	jouw
شما	uw
شما	je
شما	jij
برابر	gelijk
برابر	gelijke
برابر	gelijken
تولید	productie
تولید	vervaardiging
تولید	fabricage
تولید	genereert
تولید	genereren
تولید	produktie
تپه	heuvel
تنها	alleen
تنها	enkel
تنها	eenzame
تنها	slechts
تنها	eenzaam
تنها	eenzaamheid
شرقی	oosterse
شرقی	oosters
شرقی	oostelijke
شرقی	oost
شرقی	oostelijk
شرقی	oosten
برخی	sommigen
برخی	enkele
برخی	sommige
میان	tussen
جهان	wereld
جام	beker
جام	kopje
ارتفاع	lengte
ارتفاع	hoogte
کد	wetboek
کشف	ontdekte
کشف	ontdekking
کشف	ontdekt
کشف	ontdekkingen
کشف	ontdek
کشف	ontdekken
نشان	insigne
نشان	penning
حذف	doorhalen
حذف	verwijder
حذف	verwijderen
تلویزیونی	televisie
غربی	westelijk
غربی	westen
گرفته	genomen
گرفته	meegenomen
دوران	periodes
دوران	perioden
دوران	tijdperk
دوران	tijdvakken
شامل	inbegrepen
شامل	inclusief
شامل	omvat
شدن	krijgen
شدن	worden
بهترین	beste
دولت	regering
دولت	staat
دولت	overheid
همراه	vergezellen
همراه	begeleidende
همراه	vergezelde
همراه	begeleidend
همراه	vergezeld
همراه	mobiel
چپ	links
چپ	linkse
چپ	linker
ایتالیا	italiaan
ایتالیا	italië
ایتالیا	italiaanse
ایتالیا	italiaans
صفحه	bladzijde
صفحه	pagina
مجلس	parlement
مجلس	montage
مجلس	assemblee
مجلس	assemblage
تحت	onder
آغاز	beginnend
آغاز	beginnen
آغاز	begin
آغاز	starten
راه	pad
راه	manier
کشتی	schip
کشتی	worstel
کشتی	schepen
کشتی	worstelen
کشتی	boot
بودند	waren
الگو	patroon
توجه	aandacht
توجه	opgelet
توجه	attentie
همه	alle
همه	allemaal
همه	iedereen
همه	allen
همه	alles
کوچک	klein
کوچک	weinig
کوچک	mineur
کوچک	kleine
کوچک	minderjarige
کوچک	smal
رسمی	formeel
رسمی	formele
رسمی	officiële
رسمی	officieel
رسمی	ambtenaar
پرونده	bestand
پرونده	geval
پرونده	dossier
پرونده	zaak
ماه	maandje
ماه	maand
ماه	maanden
ماه	maan
ماه	maandenlang
اوت	augustus
هزار	duizend
تابستانی	zomer
چون	omdat
چون	wanneer
چون	want
تغییر	verandering
تغییر	veranderingen
تغییر	veranderen
تغییر	veranderende
تغییر	wijzigen
تغییر	wijziging
تغییر	aanpassen
مجموعه	verzameling
مجموعه	inzameling
مجموعه	collectie
مجموعه	verzamelen
سیاسی	politieke
سیاسی	politiek
شکل	figuur
شکل	formulier
شکل	gevormd
شکل	vorm
مارس	marcheren
مارس	maart
درخواست	verzoeken
درخواست	aanvraag
درخواست	verzoek
درخواست	aanvragen
کیلومتر	kilometers
کیلومتر	kilometer
جمله	vonnis
جمله	zin
جمله	straf
گردشگری	toerisme
گردشگری	toerist
