در	ประตู
رده	ห้องเรียน
رده	คลาส
رده	เรียน
از	จาก
که	นั่น
که	ว่า
که	ใคร
که	ผู้
که	นั้น
که	ที่
این	ดิส
این	นี้
این	นี่
را	ทำให้
را	เดอะ
با	ด้วย
با	กับ
میلادی	ทศวรรษ
یک	หนึ่ง
یک	เดียว
سال	ปี
سال	แซล
ایران	อิหร่าน
برای	สำหรับ
برای	เพื่อ
شهرستان	มณฑล
شهرستان	เปรม
آمریکا	อเมริกา
شده	ถูก
فهرست	รายการ
دارد	ทรง
او	นาง
او	เขา
او	หล่อน
او	เธอ
تا	จนกว่า
تا	พฤษภาคม
تا	จน
تا	จนถึง
فوتبال	ฟุตบอล
ساعت	นาฬิกา
ساعت	ชั่วโมง
پایه	มูลนิธิ
پایه	รากฐาน
پایه	ฐาน
پایه	ฐานทัพ
نام	ชื่อ
استان	จังหวัด
استان	แคว้น
استان	ภูมิภาค
شهر	ซิตี้
شهر	ทาวน์
شهر	เมือง
ملی	ชาติ
کشور	ประเทศ
تاریخ	ประวัติศาสตร์
تاریخ	เดท
تاریخ	ประวัติการ
تاریخ	ประวัติ
فیلم	ฟิล์ม
فیلم	ภาพยนตร์
فیلم	ภาพยนต์
فیلم	หนัง
بخش	กรม
بخش	แผนก
بخش	ภาค
بخش	เขต
بخش	อำเภอ
بخش	ส่วน
جمعیت	ประชากร
دو	สอง
پس	งั้น
یکی	หนึ่ง
یکی	เดียว
وی	วี
وی	อุย
روستاهای	หมู่บ้าน
دیگر	มากกว่า
دیگر	อื่นๆ
می	พฤษภาคม
پیوند	ลิงค์
پیوند	บอนด์
پیوند	สายใย
پیوند	พันธบัตร
پیوند	พันธะ
پیوند	ลิงก์
پیش	ก่อน
بحث	อภิปราย
بحث	เถียง
بیرون	ออก
افراد	ผู้คน
افراد	ผู้
افراد	คน
افراد	บุคคล
افراد	ประชาชน
دوره	คอร์ส
دوره	หลักสูตร
دهه	ทศวรรษ
متر	เมตริก
متر	มิเตอร์
متر	เมตร
مناطق	เขต
مناطق	พื้นที่
مناطق	บริเวณ
هر	ใดๆ
هر	ทุก
هر	ทุกๆ
باشگاه	คลับ
باشگاه	สโมสร
باشگاه	พละ
باشگاه	ยิม
باشگاه	ชมรม
شهرهای	เทศบาล
دانشگاه	มหาวิทยาลัย
دانشگاه	วิทยาลัย
مورد	กรณี
مورد	คดี
سده	ศตวรรษ
زبان	ลิ้น
زبان	ภาษา
شماره	จำนวน
شماره	หมายเลข
کار	งาน
کار	ทำงาน
اما	แต่
روی	สังกะสี
روی	รอย
صورت	หน้าตา
صورت	หน้า
صورت	ใบหน้า
مرکز	กลาง
مرکز	ศูนย์
مرکز	เซ็นทรัล
مرکز	ศูนย์กลาง
مرکز	กึ่งกลาง
زمان	เวลา
شرکت	องค์กร
شرکت	บริษัท
مقاله	ข่าว
مقاله	บทความ
تیم	ทิม
تیم	ทีม
مرد	มนุษย์
مرد	คน
مرد	ชาย
مرد	แมน
انگلیسی	อังกฤษ
نظر	หมายเหตุ
جهانی	เวิลด์
جهانی	โลก
جهانی	โกลบอล
جهانی	นานาชาติ
جهانی	สากล
همچنین	ยัง
زندگی	ชีวิต
زن	ภรรยา
زن	เมีย
زن	ภริยา
زن	หญิง
زیر	ใต้
هستند	กำลัง
هستند	คือ
جوایز	รางวัล
روستا	หมู่บ้าน
تهران	เตหะราน
بازی	เกม
بازی	เกมส์
بازی	เล่น
فرانسه	ฝรั่งเศส
جنگ	สงคราม
باید	ต้อง
دست	หัตถ์
دست	มือ
دست	มือขวา
دست	แขน
شورای	สภา
محل	ตำแหน่งที่ตั้ง
محل	ตำแหน่ง
های	ไห
کتاب	สมุด
کتاب	หนังสือ
آلمان	เยอรมัน
آلمان	เยอรมนี
سطح	เลเวล
سطح	ระดับ
اصلی	ต้นฉบับ
اصلی	ดั้งเดิม
اصلی	เดิม
اصلی	หลัก
