மற்றும்	et
ஒரு	un
ஒரு	une
இந்த	cet
இந்த	ce
இந்த	ceci
இந்த	cette
இந்த	ces
இந்த	cela
ஆம்	oui
இது	cet
இது	ce
இது	ceci
இது	cette
இது	cela
மக்கள்	gens
மக்கள்	personnes
மக்கள்	peuples
என்ற	dérivées
என்ற	dérivée
என்ற	intitulée
என்ற	le
என்ற	les
என்ற	intitulé
என்ற	dérivé
என்ற	la
என்ற	titré
ஆண்டு	an
ஆண்டு	annee
ஆண்டு	année
என்று	que
என்று	cela
தமிழ்	tamouls
தமிழ்	tamoul
இந்திய	indiennes
இந்திய	indienne
இந்திய	indiens
இந்திய	indien
இருந்து	du
இருந்து	de
இருந்து	depuis
பல	nombreuses
பல	multiples
பல	nombreux
பல	plusieurs
பல	beaucoup
முதல்	premier
முதல்	première
முதல்	premiers
முதல்	premières
முதல்	depuis
முதல்	du
முதல்	de
மேலும்	plus
மேலும்	davantage
தொகை	montant
சில	certaines
சில	quelques
சில	peu
சில	certains
உள்ளது	disponible
உள்ளது	disponibles
உள்ளது	existe
உள்ளது	dispo
அவர்	lui
இருக்கும்	existant
இருக்கும்	existants
இருக்கும்	existantes
வெளி	délocalisation
வெளி	externaliser
வெளி	extérieur
வெளி	extérieurs
வெளி	espace
வெளி	externe
வெளி	extérieure
வெளி	externalisation
வெளி	externes
அமைந்துள்ளது	situé
அமைந்துள்ளது	située
அமைந்துள்ளது	situés
அமைந்துள்ளது	localisé
மூலம்	originale
மூலம்	sources
மூலம்	originaux
கொண்ட	contenaient
கொண்ட	contenues
வரை	tirage
வரை	dessiner
வரை	dessine
பின்னர்	puis
பின்னர்	alors
பின்னர்	ultérieur
பின்னர்	ensuite
ஆனால்	mais
வேண்டும்	envie
வேண்டும்	veulent
வேண்டும்	devrais
வேண்டும்	besoins
வேண்டும்	nécessité
வேண்டும்	veux
வேண்டும்	vouloir
வேண்டும்	besoin
வேண்டும்	voulez
வேண்டும்	devrait
வேண்டும்	devraient
கொண்டு	apporté
கொண்டு	avec
கொண்டு	amené
கொண்டு	amenez
கொண்டு	apportez
கொண்டு	apporte
கொண்டு	amener
கொண்டு	amenés
கொண்டு	apporter
பட்டியல்	listes
பட்டியல்	liste
அமைந்துள்ள	situé
அமைந்துள்ள	située
அமைந்துள்ள	situés
அமைந்துள்ள	localisé
அதன்	son
அதன்	ses
அதன்	sa
பெண்கள்	féminin
பெண்கள்	filles
பெண்கள்	femmes
பெண்கள்	femelles
பெண்கள்	femme
கொண்டுள்ளது	contient
போது	durant
போது	quand
போது	lorsque
போது	lors
போது	pendant
இணைப்புகள்	raccordements
இணைப்புகள்	liens
இணைப்புகள்	connexions
இரண்டு	deux
தகவல்	informations
தகவல்	infos
தகவல்	renseignements
மொத்த	totaux
மொத்த	totale
வளர்ச்சி	developpement
வளர்ச்சி	croissance
வளர்ச்சி	développement
அந்த	que
அந்த	cela
மிகவும்	tres
மிகவும்	très
மிகவும்	trés
திட்டம்	projet
திட்டம்	planifier
தேசிய	nationaux
தேசிய	nationales
தேசிய	nationale
இலங்கை	ceylan
இங்கு	voilà
இங்கு	ici
இங்கு	voici
அமெரிக்க	américain
அமெரிக்க	américaines
அமெரிக்க	américaine
அமெரிக்க	américains
அடிப்படை	élémentaire
அடிப்படை	basique
அடிப்படை	base
அடிப்படை	basiques
அடிப்படை	fondement
பெயர்	étiquette
பெயர்	libellé
பெயர்	nom
பெயர்	noms
பெயர்	étiquettes
பெயர்	dénomination
பெயர்	nommer
மூன்று	trois
ஆண்கள்	mâles
ஆண்கள்	hommes
ஆண்கள்	homme
ஆண்கள்	masculins
ஒன்று	soit
ஒன்று	rassembler
ஒன்று	une
ஒன்று	un
ஐக்கிய	unis
ஐக்கிய	unies
ஐக்கிய	unie
புதிய	nouvelles
புதிய	nouveaux
புதிய	nouvelle
புதிய	fraiche
புதிய	frais
புதிய	nouveautés
புதிய	fraîche
புதிய	fraîcheur
புதிய	nouveau
அவரது	son
அவரது	ses
அவரது	sa
மொத்தம்	totaux
மொத்தம்	totale
இவை	ces
சிறந்த	excellents
சிறந்த	meilleure
சிறந்த	super
சிறந்த	meilleures
சிறந்த	grande
சிறந்த	génial
சிறந்த	excellente
சிறந்த	grand
சிறந்த	meilleur
சிறந்த	meilleurs
அரசு	gouvernement
அரசு	gouvernements
வசதிகள்	installations
வசதிகள்	équipements
இந்தியா	inde
இந்தியா	indes
பெரிய	grosse
பெரிய	super
பெரிய	grandes
பெரிய	grande
பெரிய	génial
பெரிய	grands
பெரிய	grand
பெரிய	gros
ஊரக	rurale
ஊரக	rurales
ஊரக	ruraux
நாள்	journée
நாள்	journee
நாள்	jour
பிறப்பு	trappe
பிறப்பு	génériques
பிறப்பு	née
பிறப்பு	naissance
பிறப்பு	générique
பிறப்பு	écoutille
பிறப்பு	naître
பிறப்பு	né
இருந்தது	fut
இருந்தது	était
இருந்தது	etait
முக்கிய	principaux
முக்கிய	principal
முக்கிய	importants
முக்கிய	importante
முக்கிய	principales
முக்கிய	importantes
முக்கிய	principale
பல்வேறு	diverses
பல்வேறு	variété
பல்வேறு	divers
இருந்த	étaient
திரைப்படங்கள்	films
திரைப்படங்கள்	cinéma
திரைப்படங்கள்	ciné
பிற	autre
பிற	autres
அவர்கள்	eux
அவர்கள்	ils
அவர்கள்	elles
மொழி	langues
மொழி	langage
மொழி	langue
முறை	méthode
முறை	procédure
கோயில்	tempe
விருது	récompense
பொதுவாக	généraux
பொதுவாக	générale
பொதுவாக	généralités
பொதுவாக	général
அக்டோபர்	octobre
செய்து	commis
செய்து	engagée
செய்து	engagés
செய்து	engagé
தன்	son
தன்	jette
தன்	ses
தன்	sa
தொடர்ந்து	garder
தொடர்ந்து	maintenir
தொடர்ந்து	conserver
இரண்டாம்	secondaires
இரண்டாம்	seconde
இரண்டாம்	secondaire
இரண்டாம்	deuxieme
இரண்டாம்	deuxième
வரும்	venir
வரும்	vient
மே	peut
மே	mai
ஒவ்வொரு	chacun
ஒவ்வொரு	chaque
ஒவ்வொரு	chacune
மட்டுமே	seule
மட்டுமே	seulement
மட்டுமே	uniquement
மட்டுமே	seul
வரலாறு	histoire
வரலாறு	historique
பகுதியில்	zone
பகுதியில்	région
பகுதியில்	domaine
நூல்கள்	ouvrages
நூல்கள்	livres
சேர்ந்த	appartenance
சேர்ந்த	appartenant
பின்	broche
பின்	apres
பின்	après
பின்	aprés
பின்	revenir
பின்	retour
பின்	épingler
பின்	dos
பின்	épingle
பின்	arrière
இல்லை	pas
இல்லை	non
நவம்பர்	novembre
அதிக	hautes
அதிக	haut
அதிக	élevée
அதிக	élevé
அதிக	haute
காலத்தில்	période
மிக	tres
மிக	très
மிக	trés
நான்கு	quatre
பிறகு	apres
பிறகு	après
பிறகு	ensuite
பிறகு	aprés
பிறகு	ultérieur
பிறகு	puis
பிறகு	alors
அரசியல்	politique
அரசியல்	politiques
பகுதி	partiellement
பகுதி	partiels
பகுதி	partiel
பகுதி	partie
பகுதி	zone
பகுதி	partielle
பகுதி	domaine
பகுதி	partielles
பகுதி	région
ஆறு	rivière
ஆறு	fleuve
மீண்டும்	encore
இங்கிலாந்து	angleterre
காலம்	heure
காலம்	saison
காலம்	temps
காலம்	période
காலம்	saisons
நிலை	niveau
நிலை	état
நிலை	etat
ஒரே	même
ஒரே	mêmes
ஒரே	identique
ஒரே	meme
ஒரே	pareil
போர்	guerre
காரணமாக	dû
காரணமாக	dus
பொருள்	produit
பொருள்	matériel
பொருள்	sujet
பொருள்	matériaux
பொருள்	matériau
பொருள்	synonymes
பொருள்	produits
பொருள்	objet
அறிவியல்	scientifique
அறிவியல்	sciences
பேச்சு	parlez
பேச்சு	allocution
பேச்சு	discours
பேச்சு	parle
பேச்சு	parler
இதனால்	avec
அனைத்து	tous
அனைத்து	tout
அனைத்து	toutes
அனைத்து	toute
கல்வி	éducation
கல்வி	enseignement
ஏப்ரல்	avril
ஏப்ரல்	avr
உலக	mondiaux
உலக	mondial
உலக	monde
உலக	mondiale
கே	homosexuel
கே	homosexualité
முடியும்	peux
முடியும்	peut
முடியும்	peuvent
முடியும்	pouvez
கீழ்	inférieur
கீழ்	fond
கீழ்	descendre
கீழ்	inférieure
கீழ்	abaisser
கீழ்	sous
இடம்	localité
இடம்	localisation
இடம்	endroit
இடம்	emplacement
இடம்	espace
இடம்	lieu
செப்டம்பர்	septembre
பேர்	autres
பெரும்	insolente
பெரும்	super
பெரும்	grande
பெரும்	génial
பெரும்	grand
நாடுகள்	pays
தொகுதி	système
கிழக்கு	oriental
கிழக்கு	orienter
கிழக்கு	orientale
கிழக்கு	orient
கிழக்கு	est
அமைப்பு	configuration
அமைப்பு	réglage
அமைப்பு	organisation
அமைப்பு	paramètre
அமைப்பு	système
அமைப்பு	configurer
அளவு	echelle
அளவு	tailles
அளவு	montant
அளவு	échelle
அளவு	pointure
அளவு	quantités
அளவு	taille
அளவு	quantité
மற்ற	autre
மற்ற	autres
இந்து	hindou
இந்து	hindoue
இந்து	hindous
இவற்றையும்	ces
தற்போது	présentement
தற்போது	actuellement
தற்போது	maintenant
தற்போது	désormais
பாடல்	chant
பாடல்	chanson
உண்டு	ont
உண்டு	disponibles
உண்டு	avoir
உண்டு	dispo
உண்டு	disponible
வாழும்	vivante
வாழும்	vivants
வாழும்	vivant
வாழும்	vivre
இருக்கிறது	disponible
இருக்கிறது	disponibles
இருக்கிறது	dispo
நிறுவனம்	employeurs
நிறுவனம்	entreprise
நிறுவனம்	organisation
நிறுவனம்	employeur
நிறுவனம்	compagnie
நிறுவனம்	société
நபர்கள்	gens
நபர்கள்	personnes
காலனி	colonie
மேற்கு	occident
மேற்கு	occidentale
மேற்கு	ouest
மேற்கு	occidental
தலைவர்	meneur
தலைவர்	présidente
தலைவர்	président
முதலில்	premiers
முதலில்	premier
முதலில்	premières
முதலில்	première
சார்ந்த	relatif
சார்ந்த	basée
சார்ந்த	dépendance
சார்ந்த	parent
சார்ந்த	dépendances
சார்ந்த	basés
சார்ந்த	basé
மேல்	haut
நாடு	pays
மட்டும்	seule
மட்டும்	seulement
மட்டும்	uniquement
மட்டும்	seul
அடிப்படையில்	essentiellement
அடிப்படையில்	fondamentalement
அடிப்படையில்	fondement
அடிப்படையில்	base
எண்	comte
எண்	compte
எண்	nombre
எண்	numéro
எண்	compter
குறிப்பிட்ட	spécifiques
குறிப்பிட்ட	spécifique
குறிப்பிட்ட	déclaré
குறிப்பிட்ட	spécifiés
குறிப்பிட்ட	spécifiée
குறிப்பிட்ட	spécifié
குறிப்பிட்ட	précisé
செய்ய	faire
செய்ய	faites
சிறிய	petit
சிறிய	petits
சிறிய	peu
சிறிய	petites
சிறிய	petite
வந்த	vint
வேறு	autre
வேறு	autres
மார்ச்	marche
மார்ச்	mars
நிலையில்	scène
நிலையில்	état
நிலையில்	étape
நிலையில்	stade
பெண்	féminin
பெண்	femmes
பெண்	fillette
பெண்	femelles
பெண்	femme
பெண்	fille
பெண்	femelle
வெற்றி	réussite
வெற்றி	gagne
வெற்றி	gagner
வெற்றி	gagnés
வெற்றி	succes
வெற்றி	succès
வெற்றி	gagnante
வெற்றி	gagnée
வெற்றி	gagnées
வெற்றி	gagné
வெற்றி	gagnez
வெற்றி	victoires
வெற்றி	victoire
வெற்றி	gagnant
இணைப்பு	attachement
இணைப்பு	lien
இணைப்பு	fixation
இணைப்பு	branchement
இணைப்பு	raccordement
இணைப்பு	connexion
திரைப்படம்	film
வகை	catégories
வகை	taper
வகை	tapez
வகை	catégorie
ஐந்து	cinq
அதே	même
அதே	mêmes
அதே	identique
