категория	categorie
что	wat
для	voor
как	zoals
как	hoe
его	hem
его	zijn
также	ook
это	dat
это	deze
это	dit
после	na
области	oppervlakten
области	gebieden
год	jaar
время	tijd
состав	compositie
состав	samenstelling
место	locatie
место	plaats
место	ligging
место	lokatie
были	waren
район	oppervlakte
район	gebied
район	buurt
вид	soort
вид	soorten
вид	uitzicht
вид	diersoorten
вид	bekijk
вид	weergave
вид	diersoort
вид	bekijken
под	onder
только	alleen
только	enkel
только	slechts
только	gewoon
есть	heb
есть	kreeg
язык	taal
язык	taalgebruik
язык	tong
районе	buurt
код	wetboek
более	meer
мая	mei
мая	moge
мая	mogen
мая	mag
дата	datum
деревня	dorp
деревня	dorpje
где	waar
января	januari
марта	marcheren
марта	maart
все	alle
все	allemaal
все	iedereen
все	allen
все	alles
августа	augustus
октября	oktober
октября	lgo
статьи	artikels
статьи	artikelen
уже	reeds
уже	al
июня	juni
который	welke
название	naam
название	titel
поселение	nederzetting
поселение	schikking
поселение	afwikkeling
поселение	vereffening
человек	menselijke
человек	persoon
человек	mens
человек	menselijk
смерти	sterfte
смерти	sterfgevallen
лет	jaar
лет	jaren
февраля	februari
они	zij
они	ze
города	stad
города	steden
может	kan
может	kon
может	misschien
может	kunt
может	kunnen
она	zij
она	ze
войны	oorlogen
войны	oorlog
можно	kunnen
можно	kunt
можно	kan
когда	wanneer
однако	echter
которые	welke
высота	lengte
высота	hoogte
переписи	volkstelling
переписи	tellingen
село	dorp
село	dorpje
стал	werd
стал	werden
статья	artikel
род	idd
род	hengel
один	één
один	alleen
один	eén
один	een
без	zonder
реки	rivier
реки	rivieren
между	tussen
населения	bevolking
населения	populatie
годы	jaar
годы	jaren
национальный	nationaal
национальный	nationale
область	provincie
область	gebied
область	regio
область	oppervlakte
список	lijstje
список	lijst
века	leeftijden
века	eeuwen
века	eeuwenlang
официальный	officieel
официальный	ambtenaar
официальный	officiële
часть	gedeelte
часть	deel
против	tegen
этот	deze
этот	dit
будет	zal
будет	zullen
несколько	meervoudig
несколько	enigszins
несколько	ietwat
несколько	meervoudige
несколько	verscheidene
несколько	enigzins
несколько	verschillende
несколько	meerdere
несколько	veelvoud
город	stad
мира	vrede
первое	eerst
первое	eerste
части	delen
части	onderdelen
описание	omschrijving
описание	signalement
описание	beschrijving
всего	totaal
первый	eerst
первый	eerste
файл	bestand
файл	dossier
карты	kaarten
карты	kaart
два	twee
всех	alle
всех	allemaal
всех	iedereen
всех	allen
всех	alles
раз	eens
там	er
там	daar
территории	gebiedsdelen
территории	gebieden
второй	tweede
очень	zeer
главы	hoofdstukken
карта	plattegrond
карта	kaart
площадь	vierkante
площадь	vierkant
площадь	plein
площадь	oppervlakte
площадь	gebied
всё	alles
даже	zelfs
затем	daarna
затем	dan
группы	groep
группы	groepen
группы	fractie
основания	gronden
размер	maat
размер	grootte
размер	afmeting
размер	formaat
размер	omvang
имеет	heeft
поселения	schikkingen
поселения	nederzettingen
страны	land
страны	landen
ему	hem
индекс	indexcijfer
индекс	indexeren
улица	straat
население	bevolking
население	populatie
население	demografie
работы	arbeid
работы	werk
работы	werken
имена	namen
вместе	samen
здесь	hier
истории	verhaaltjes
истории	verslagen
истории	verhalen
истории	geschiedenis
которая	welke
александр	aleksandr
армии	leger
армии	landmacht
армии	legers
деление	afdeling
деление	deling
деление	kernsplijting
деление	onderverdeling
деление	divisie
хотя	hoewel
хотя	alhoewel
кроме	behalve
игроки	spelers
другие	ander
другие	overige
другие	overig
другие	overigen
другие	andere
другие	anderen
получил	heb
получил	kreeg
история	verhaal
история	geschiedenis
себя	jijzelf
себя	ikzelf
себя	uzelf
себя	zelf
себя	mijzelf
себя	jezelf
себя	mezelf
совета	raad
фильм	filmpje
фильм	film
рождения	geboorte
пункты	paragrafen
времени	tijd
либо	ofwel
либо	hetzij
участник	lid
участник	deelnemer
страница	bladzijde
страница	pagina
участие	deelname
участие	deelneming
участие	participatie
участие	betrokkenheid
три	drie
человека	menselijke
человека	mens
человека	menselijk
автор	schrijver
автор	auteur
республики	republiek
внутреннее	inwendig
внутреннее	intern
внутреннее	innerlijk
внутреннее	innerlijke
внутреннее	binnenste
эти	deze
статей	artikels
статей	artikelen
случае	geval
случае	zaak
центр	centreren
центр	centrum
округ	graafschap
жизни	leeft
жизни	levens
жизни	leven
жизни	woont
генерал	algemeen
генерал	algemene
генерал	generaal
родился	geboren
союза	vakbond
союза	unie
кто	wie
связи	communicatie
связи	mededelingen
день	dag
день	dagje
именно	exact
именно	precies
период	periode
период	tijdvak
община	gemeenschap
индексы	registers
индексы	indexen
округа	provincies
округа	districten
округа	wijken
франции	frankrijk
группа	groep
группа	fractie
имя	naam
игры	spellen
игры	spelletjes
цифровой	digitaal
поэтому	daarom
идентификатор	identificatiecode
ширина	breedte
просто	gewoon
регион	regio
тогда	daarna
тогда	dan
конце	einde
конце	beëindigen
конце	eind
отечественной	patriottische
вот	hier
работал	gewerkt
работал	werkte
церкви	kerk
церкви	kerken
наук	wetenschappen
ввп	bnp
ввп	bbp
больше	meer
федерации	federatie
федерации	federaties
наиболее	meest
наиболее	meesten
наиболее	meeste
изображения	imago
изображения	beeld
изображения	afbeeldingen
изображения	beelden
изображения	afbeelding
советский	sovjet
степени	graden
степени	graad
северо	noordwestelijke
северо	noordwest
изображение	imago
изображение	afbeelding
изображение	beeld
награды	onderscheidingen
награды	prijsuitreiking
награды	beloningen
награды	eert
ранее	vroeger
ранее	voorheen
ранее	eerder
ранее	voordien
перед	voordat
перед	vóór
германии	duits
германии	duitsland
германии	duitse
москва	moskou
системы	systemen
стала	werd
стала	werden
стороны	partijen
стороны	zijden
стороны	feestjes
стороны	kanten
стороны	zijkanten
совет	raad
академии	academie
две	twee
николай	nicolaas
николай	nikolaj
некоторые	sommigen
некоторые	enkele
некоторые	sommige
менее	minder
роль	rol
юго	zuidwesten
юго	zuidwest
дом	huis
дом	thuis
дом	startpagina
значимость	betekenis
значимость	relevantie
высоты	hoogten
высоты	hoogtes
русский	rus
русский	russisch
русский	russische
член	haan
член	pik
член	lul
член	lid
орден	bestelling
орден	orde
орден	bestellen
сам	mijzelf
сам	ikzelf
сам	mezelf
сам	zelf
сын	zoon
пока	dag
пока	daag
пока	doei
общины	gemeenschap
общины	gemeenschappen
сельсовет	selsovjet
число	nummer
число	aantal
число	getal
эта	deze
эта	dit
нужно	nodig
нужно	noodzaak
нужно	behoefte
нужно	nood
большой	groot
большой	bolsjoj
большой	grote
количество	aantal
количество	getal
количество	kwantiteit
количество	nummer
количество	hoeveelheid
являются	zijn
институт	instelling
институт	instituut
компании	onderneming
компании	gezelschap
компании	bedrijf
компании	bedrijven
церковь	kerk
советского	sovjet
много	veel
много	velen
много	vele
сельский	rustieke
вопрос	vraagje
вопрос	kwestie
вопрос	vraag
вопрос	uitgifte
вопрос	afgifte
новый	nieuw
новый	nieuwe
образование	onderwijs
образование	opvoeding
тоже	ook
момент	koppel
момент	ogenblik
фильмы	bioscoop
фильмы	films
часто	regelmatig
часто	frequent
часто	veelvuldig
часто	vaak
часто	frequente
часто	dikwijls
почти	bijna
партии	partijen
партии	feestjes
глава	hoofdstuk
настоящее	presenteren
настоящее	heden
настоящее	presenteer
настоящее	aanwezig
стали	staal
стали	stalen
организации	organisaties
организации	organisatie
сейчас	nu
империи	rijk
империи	keizerrijk
империи	imperium
империи	rijken
река	rivier
участников	deelnemers
участников	exposanten
одна	één
одна	alleen
одна	eén
одна	een
людей	mensen
людей	personen
возможно	misschien
возможно	waarschijnlijk
возможно	mogelijk
возможно	mogelijke
сергей	sergej
окончил	afgestudeerd
окончил	geslaagd
пояс	gordel
пояс	riem
команды	ploegen
команды	opdrachten
такие	dergelijke
шаблон	sjabloon
шаблон	patroon
ссылки	referenties
ссылки	verwijzingen
многие	veel
многие	velen
многие	vele
жизнь	leven
серии	reeksen
серии	serie
серии	reeks
участники	aanwezigheid
участники	deelnemers
участники	opkomst
участники	leden
начал	begonnen
начал	gestart
начал	begon
начал	opgestart
культуры	culturen
команда	bemanning
команда	opdracht
команда	commando
команда	team
достаточно	genoeg
краткое	bondig
краткое	beknopte
краткое	kort
краткое	korte
краткое	beknopt
позже	straks
другой	overig
другой	ander
другой	overige
другой	andere
источники	bronnen
данные	gegevens
война	oorlog
школы	scholen
герой	held
иванович	ivanovitsj
михаил	michaël
михаил	michail
михаил	michiel
текст	tekst
первая	eerst
первая	eerste
песни	liederen
песни	liedjes
песни	nummers
которое	welke
женщин	vrouwen
участником	deelnemer
книги	boeken
полностью	compleet
полностью	volledig
жителей	ingezetenen
жителей	bewoners
жителей	inwoners
честь	gehuldigd
честь	eren
честь	geëerde
честь	eer
честь	vereerd
честь	geëerd
звание	rangschikking
звание	rang
звание	rangschikken
решение	oplossing
решение	besluit
решение	beslissing
чемпионат	kampioenschappen
чемпионат	kampioenschap
деятельность	activiteiten
деятельность	activiteit
еще	meer
данных	gegevens
назначен	benoemd
назначен	toegewezen
назначен	benoemde
назначен	aangesteld
плотность	dichtheid
берегу	wal
берегу	oever
итог	uitkomst
итог	resultaat
россия	rusland
ничего	niets
ничего	niks
села	zat
названия	titels
названия	namen
должен	moeten
должен	moet
права	rechten
король	konings
король	koning
края	randen
края	kraj
края	rand
обычно	typisch
обычно	meestal
обычно	gewoonlijk
обычно	normaal
обычно	normaliter
умер	doods
умер	gestorven
умер	stierf
умер	dood
умер	overleden
власти	autoriteiten
службы	dienst
службы	dienstverlening
службы	diensten
система	systeem
система	stelsel
университет	universiteit
должны	moeten
должны	moet
слова	woorden
флаг	vlag
версии	versie
версии	versies
различных	diverse
различных	anders
различных	divers
различных	gevarieerd
различных	verschillend
различных	verschillende
вновь	nogmaals
вновь	alweer
вновь	opnieuw
отец	papa
отец	paps
отец	pa
отец	pap
отец	vader
общества	samenlevingen
общества	samenleving
общества	genootschap
общества	maatschappij
обсуждение	discussie
обсуждение	discussies
многих	veel
многих	velen
многих	vele
войска	troep
войска	troepen
детей	kinderen
источник	bron
вскоре	spoedig
вскоре	binnenkort
вскоре	weldra
вскоре	snel
члены	leden
должность	positie
обсуждения	discussie
обсуждения	besprekingen
обсуждения	discussies
действия	optreden
действия	activiteit
действия	acties
действия	actie
действия	aktie
дивизии	divisies
дивизии	afdelingen
дивизии	splitsingen
участника	deelnemer
участвовал	meegedaan
участвовал	deelgenomen
ряд	roei
ряд	roeien
ряд	rij
душу	ziel
дома	huis
дома	thuis
дома	startpagina
дома	huizen
некоторых	sommigen
некоторых	enkele
некоторых	sommige
почему	waarom
выше	langer
выше	boven
выше	hoger
выше	groter
выше	hogere
выше	hierboven
медаль	medaille
земли	grond
режиссёр	regisseur
режиссёр	directeur
правила	verordeningen
правила	reglementen
правила	regels
правила	voorschriften
полка	plank
линии	lijn
линии	lijnen
места	stoelen
места	zitplaatsen
места	locaties
места	plaatsen
места	zetels
существует	bestaat
категории	categorieën
категории	categorie
ссылка	referentie
ссылка	verwijzing
ссылка	koppeling
компания	onderneming
компания	gezelschap
компания	bedrijf
используется	gebruikte
используется	gebruikt
тысяч	duizend
начало	beginnend
начало	beginnen
начало	begin
начало	starten
италии	italiaan
италии	italië
италии	italiaanse
италии	italiaans
положение	toestand
положение	situatie
положение	positie
мужчин	reuen
мужчин	mannen
мужчин	mannetjes
северной	noord
северной	noorden
острова	eilanden
острова	eiland
дело	geval
дело	zaak
теперь	nu
профессор	hoogleraar
особенно	vooral
американский	amerikaans
американский	amerikaan
американский	amerikaanse
право	wet
впоследствии	vervolgens
великобритании	britse
великобритании	brits
великобритании	britten
чемпион	kampioen
лучше	beter
шаблоны	patronen
шаблоны	sjablonen
правило	regel
андрей	andrej
роли	rol
роли	rollen
сезон	seizoen
люди	mensen
люди	mensjes
люди	personen
управление	controle
управление	beheer
управление	bestuur
управление	managen
управление	beheren
сделать	maak
сделать	maken
длина	lengte
хорошо	oke
хорошо	oké
хорошо	lekker
хорошо	goed
иногда	soms
тип	typ
тип	soort
кладбище	kerkhof
кладбище	begraafplaats
средняя	gemiddeld
средняя	middellange
средняя	gemiddelde
средняя	middelgroot
средняя	middelste
средняя	middelgrote
средняя	midden
театр	bioscoop
театр	theater
художник	kunstenares
художник	kunstschilder
художник	artiest
художник	schilder
художник	kunstenaar
российская	rus
российская	russisch
российская	russische
одно	één
одно	eén
одно	een
возможность	mogelijkheid
возможность	kans
возможность	gelegenheid
какой	wat
создания	creatie
создания	schepping
премия	gunning
премия	premie
премия	onderscheiding
выпускники	laatstejaars
выпускники	afgestudeerden
выпускники	senioren
новые	nieuw
новые	nieuwe
основные	belangrijkste
основные	fundamentele
основные	voornaamste
всегда	altijd
известные	gekende
известные	bekend
известные	gekend
известные	bekende
южной	zuid
южной	zuiden
южной	zuidelijk
метров	meter
метров	meters
практически	bijna
практически	praktisch
корпуса	korps
президент	voorzitter
четыре	vier
стоит	waard
информация	gegevens
информация	informatie
большая	groot
большая	bolsjaja
большая	grote
большинство	meerderheid
большинство	meest
большинство	meesten
большинство	meeste
кино	film
кино	bioscoop
кино	bioscopen
кино	filmpje
кино	films
номер	nummer
номер	aantal
номер	getal
деревни	dorpjes
деревни	dorpen
силы	forceren
силы	kracht
силы	krachten
внимание	focussen
внимание	concentreren
внимание	opgelet
внимание	aandacht
внимание	attentie
государства	staten
примерно	ongeveer
примерно	grofweg
примерно	ruwweg
писатель	schrijfster
писатель	schrijver
движения	verkeer
движения	verplaatsingen
движения	bewegingen
роман	romeins
роман	roman
роман	romeinse
дней	dagen
новых	nieuw
новых	nieuwe
джон	johannes
граф	tellen
граф	telling
граф	tel
граф	grafiek
граф	graaf
провинции	provincies
новая	nieuw
новая	nieuwe
известен	gekende
известен	bekend
известен	gekend
известен	bekende
сил	krachten
каждый	elke
каждый	iedere
каждый	ieder
каждый	iedereen
каждый	elk
потом	daarna
потом	dan
герб	kruiden
герб	kruid
герб	embleem
счёт	rekening
счёт	scoren
книга	boek
отношения	betrekkingen
отношения	relaties
отношения	relatie
доктор	dokter
доктор	doktor
доктор	arts
использовать	gebruik
использовать	gebruiken
стран	landen
заголовок	onderschrift
заголовок	koers
заголовок	kop
заголовок	rubriek
заголовок	titel
заголовок	krantenkop
заголовок	koptekst
лучший	beste
восточной	oostelijke
восточной	oosterse
восточной	oosters
восточной	oostelijk
видов	soorten
видов	soort
видов	diersoort
видов	diersoorten
удалось	gelukt
удалось	geslaagd
удалось	beheerd
удалось	beheerde
западной	westelijk
всем	alle
всем	allemaal
всем	iedereen
всем	allen
всем	alles
здание	bouwen
слово	woord
дочь	dochter
фон	achtergrond
фон	achtergrondinformatie
фон	achtergronden
последний	laatste
представляет	vertegenwoordigt
представляет	representeert
правил	regels
правил	voorschriften
точки	stippen
точки	punten
точки	puntjes
