மற்றும்	そして
ஒரு	ワン
ஒரு	一人
ஒரு	一つ
இந்த	これ
இந்த	これら
இந்த	これらの
இந்த	この
ஆம்	はい
இது	これ
இது	この
மக்கள்	ピープル
என்ற	派生
ஆண்டு	イヤー
இருந்து	から
பல	複数
பல	倍数
பல	多数
முதல்	から
முதல்	ファースト
முதல்	最初
மேலும்	もっと
தொகை	金額
சில	いくつか
சில	いくらか
சில	一部
சில	少数
இருக்கும்	既存
வெளி	アウトソーシング
வெளி	外部
வெளி	空間
வெளி	スペース
மூலம்	オリジナル
மூலம்	出典
மூலம்	ソース
வரை	引き分け
வரை	ドロー
வரை	まで
பின்னர்	それから
பின்னர்	後で
ஆனால்	しかし
ஆனால்	でも
வேண்டும்	ニーズ
வேண்டும்	欲しい
கொண்டு	持ち込み
கொண்டு	ブリング
பட்டியல்	リスト
பட்டியல்	プレイリスト
பெண்கள்	女性
பெண்கள்	ガールズ
கொண்டுள்ளது	含む
போது	とき
போது	いつ
இணைப்புகள்	つながり
இணைப்புகள்	接続
இணைப்புகள்	添付
இணைப்புகள்	リンク
இரண்டு	二人
இரண்டு	二つ
தகவல்	情報
தகவல்	伝言
தகவல்	メッセージ
மாவட்ட	ディストリクト
மாவட்ட	地区
மொத்த	合計
வளர்ச்சி	開発
வளர்ச்சி	発育
வளர்ச்சி	成長
வளர்ச்சி	発達
மாவட்டம்	ディストリクト
மாவட்டம்	地区
திட்டம்	プロジェクト
திட்டம்	計画
திட்டம்	プラン
தேசிய	国民
தேசிய	ナショナル
கலந்து	出席
இங்கு	ここ
அமெரிக்க	アメリカン
அடிப்படை	基底
அடிப்படை	ベース
அடிப்படை	ベーシック
அடிப்படை	基本
அடிப்படை	塩基
பெயர்	名称
பெயர்	氏名
பெயர்	名前
பெயர்	ラベル
மூன்று	スリー
மூன்று	三人
ஆண்கள்	メン
ஆண்கள்	男性
ஆண்கள்	オス
ஒன்று	集める
ஒன்று	ワン
ஒன்று	一人
ஒன்று	一つ
ஐக்கிய	ユナイテッド
புதிய	新規
புதிய	新しい
புதிய	フレッシュ
மொத்தம்	合計
இவை	これら
இவை	これらの
சிறந்த	最高
சிறந்த	ベスト
சிறந்த	グレート
சிறந்த	優れた
அரசு	政府
வசதிகள்	設備
வசதிகள்	施設
இந்தியா	インド
பெரிய	ビッグ
பெரிய	大きい
பெரிய	グレート
பெரிய	大きな
நாள்	一日
பிறப்பு	ハッチ
பிறப்பு	誕生
பிறப்பு	ジェネリック
பிறப்பு	孵化
முக்கிய	メイン
முக்கிய	重要
பல்வேறு	品種
பல்வேறு	変種
பல்வேறு	バラエティ
திரைப்படங்கள்	映画
பிற	その他
மொழி	言語
முறை	手続き
முறை	メソッド
முறை	方法
முறை	手順
முறை	モード
முறை	プロシージャ
கோயில்	神殿
கோயில்	テンプル
கோயில்	寺院
விருது	受賞
விருது	表彰
பொதுவாக	一般
பொதுவாக	将軍
பொதுவாக	全般
அக்டோபர்	十月
செய்து	コミット
தொடர்ந்து	キープ
இரண்டாம்	番目
இரண்டாம்	セカンド
சென்னை	チェンナイ
வரும்	来る
வரும்	カミング
மே	メイ
மே	五月
ஒவ்வொரு	それぞれ
மட்டுமே	のみ
வரலாறு	沿革
வரலாறு	由緒
வரலாறு	歴史
வரலாறு	履歴
பகுதியில்	面積
பகுதியில்	領域
பகுதியில்	エリア
நூல்கள்	書籍
நூல்கள்	帳簿
நூல்கள்	書物
பின்	アフター
பின்	戻る
பின்	裏側
பின்	ピン
பின்	背中
பின்	後ろ
நவம்பர்	十一月
அதிக	高い
அதிக	ハイ
காலத்தில்	ピリオド
காலத்தில்	期間
மிக	歯痛
நான்கு	フォー
பிறகு	アフター
பிறகு	それから
பிறகு	後で
அரசியல்	政治
பகுதி	パート
பகுதி	部分
பகுதி	領域
பகுதி	線分
பகுதி	地域
பகுதி	セグメント
பகுதி	エリア
பகுதி	面積
பகுதி	リージョン
பற்றி	について
ஆறு	シックス
ஆறு	河川
மீண்டும்	再び
மீண்டும்	アゲイン
இங்கிலாந்து	イギリス
காலம்	タイム
காலம்	シーズン
காலம்	時間
காலம்	ピリオド
காலம்	季節
காலம்	期間
நிலை	状態
நிலை	レベル
நிலை	都道府県
நிலை	位置
நிலை	ポジション
நிலை	役職
ஒரே	同じ
ஒரே	おなじ
போர்	戦争
காரணமாக	締切
பொருள்	類義語
பொருள்	同義語
பொருள்	プロダクト
பொருள்	製品
பொருள்	マテリアル
பொருள்	素材
பொருள்	オブジェクト
பொருள்	件名
பொருள்	主体
பொருள்	材料
அறிவியல்	サイエンス
அறிவியல்	科学
பேச்சு	スピーチ
பேச்சு	トーク
பேச்சு	音声
அனைத்து	すべて
கல்வி	学歴
கல்வி	教育
ஏப்ரல்	四月
ஏப்ரல்	エイプリル
உலக	グローバル
உலக	ワールド
உலக	世界
கே	ゲイ
கீழ்	ダウン
கீழ்	ボトム
இடம்	スポット
இடம்	空間
இடம்	ロケーション
இடம்	所在地
இடம்	場所
இடம்	スペース
செப்டம்பர்	九月
பேர்	他の
பேர்	その他
பெரும்	グレート
நாடுகள்	国々
தொகுதி	モジュール
தொகுதி	システム
தொகுதி	アルバム
கிழக்கு	イースト
கிழக்கு	東部
கிழக்கு	オリエント
அமைப்பு	構造
அமைப்பு	システム
அமைப்பு	構成
அமைப்பு	団体
அமைப்பு	組織
அமைப்பு	設定
அமைப்பு	セットアップ
அமைப்பு	セッティング
அளவு	サイズ
அளவு	数量
அளவு	縮尺
அளவு	金額
அளவு	スケール
அளவு	目盛
மற்ற	その他
இவற்றையும்	これら
இவற்றையும்	これらの
தற்போது	ナウ
தற்போது	現在
பாடல்	歌曲
பாடல்	ソング
வாழும்	リビング
நிறுவனம்	団体
நிறுவனம்	会社
நிறுவனம்	事業主
நிறுவனம்	組織
நபர்கள்	ピープル
மேற்கு	ウエスタン
மேற்கு	ウエスト
மேற்கு	ウェスタン
மேற்கு	ウェスト
மேற்கு	西部
தலைவர்	社長
தலைவர்	リーダー
தலைவர்	大統領
தலைவர்	プレジデント
முதலில்	ファースト
முதலில்	最初
சார்ந்த	依存
சார்ந்த	親戚
சார்ந்த	相対
மேல்	トップ
மேல்	上部
நாடு	国名
நாடு	カントリー
மட்டும்	のみ
அடிப்படையில்	基底
