من	から
تصنيف	格付
تصنيف	評価
تصنيف	分類
عن	について
عام	公開
عام	公衆
عام	将軍
عام	一般
عام	イヤー
عام	パブリック
عام	全般
اسم	名称
اسم	氏名
اسم	名前
بن	ベン
المنطقة	ゾーン
المنطقة	領域
المنطقة	地域
المنطقة	ディストリクト
المنطقة	地区
المنطقة	エリア
المنطقة	面積
المنطقة	リージョン
هي	彼女
سنة	イヤー
اختياري	オプション
هذه	これ
هذه	これら
هذه	これらの
هذه	この
عدد	ナンバー
عدد	番号
عدد	数値
بعد	アフター
هذا	これ
هذا	この
بين	ベン
تعليق	コメント
تاريخ	歴史
تاريخ	履歴
تاريخ	日付
تاريخ	由緒
تاريخ	沿革
تاريخ	デート
حيث	どこ
نوع	ソート
نوع	タイプ
نوع	親切
نوع	種類
سطر	直線
سطر	ライン
المتحدة	ユナイテッド
خط	直線
خط	フォント
خط	ライン
عبد	アブドゥル
عبد	奴隷
التوقيت	タイミング
التعداد	国勢調査
المسؤول	管理者
المسؤول	管理人
مدينة	シティ
مدينة	都市
محمد	モハメッド
محمد	ムハンマド
محمد	メフメト
المدينة	シティ
المدينة	タウン
المدينة	都市
قبل	以前
كرة	ボール
كل	すべて
كل	食べる
الله	アラー
الله	アッラーフ
الله	ゴッド
غير	変化
غير	チェンジ
غير	変更
حتى	偶数
حتى	まで
مساحة	領域
مساحة	空間
مساحة	エリア
مساحة	面積
مساحة	スペース
قد	メイ
قد	五月
محافظة	保守
خلال	スルー
اليمن	イエメン
ثم	それから
خارجية	外部
خارجية	外側
خارجية	アウトドア
خارجية	屋外
توقيت	タイミング
الصورة	イメージ
الصورة	写真
الصورة	画像
الصورة	フォト
علم	フラグ
علم	コピー
علم	国旗
خريطة	マップ
خريطة	地図
بعض	いくつか
بعض	いくらか
بعض	一部
فرق	チーム
فرق	差異
فرق	差分
فرق	違い
قدم	両足
قدم	フィート
العربية	アラブ
قائمة	メニュー
قائمة	リスト
مقاطعة	ボイコット
مقاطعة	カウンティ
تقسيم	分割
تقسيم	スプリット
تقسيم	分ける
العالم	ワールド
العالم	世界
القرن	クラクション
القرن	ホーン
القرن	ホルン
القرن	センチュリー
القرن	世紀
الموقع	場所
الموقع	ロケーション
الموقع	所在地
الثاني	番目
الثاني	セカンド
القدم	両足
القدم	フィート
علي	アリー
علي	アリ
منطقة	ゾーン
منطقة	領域
منطقة	地域
منطقة	ディストリクト
منطقة	地区
منطقة	エリア
منطقة	面積
منطقة	リージョン
انظر	外観
انظر	ルック
الرمز	シンボル
الرمز	コード
الرمز	記号
الرمز	符号
البلد	国名
البلد	カントリー
مدن	タウンズ
مدن	都市
نتيجة	結果
الكلية	学部
الكلية	カレッジ
الكلية	教職員
