மற்றும்	en
ஒரு	één
ஒரு	eén
ஒரு	een
இந்த	deze
இந்த	dit
ஆம்	ja
இது	deze
இது	dit
மக்கள்	mensen
மக்கள்	volkeren
மக்கள்	personen
என்ற	getiteld
என்ற	afgeleide
என்ற	afgeleid
என்ற	de
என்ற	het
ஆண்டு	jaar
என்று	dat
இந்திய	indische
இந்திய	indisch
இந்திய	indiase
இந்திய	indiaas
இந்திய	indiaan
இருந்து	van
இருந்து	vanaf
இருந்து	uit
பல	veel
பல	veelvoud
பல	velen
பல	meervoudig
பல	meervoudige
பல	meerdere
பல	vele
முதல்	van
முதல்	uit
முதல்	eerste
முதல்	eerst
முதல்	vanaf
மேலும்	meer
தொகை	bedrag
சில	enkele
சில	weinig
சில	weinigen
சில	paar
சில	sommige
சில	sommigen
உள்ளது	beschikbaar
உள்ளது	bestaat
உள்ளது	verkrijgbaar
உள்ளது	beschikbare
அவர்	hem
அவர்	haar
இருக்கும்	bestaand
இருக்கும்	bestaande
வெளி	uitbesteden
வெளி	ruimte
வெளி	uitwendig
வெளி	externe
வெளி	extern
வெளி	spatie
அமைந்துள்ளது	gelokaliseerd
மூலம்	originele
மூலம்	bron
மூலம்	oorspronkelijke
மூலம்	origineel
கொண்ட	ingeperkt
வரை	trekken
வரை	tot
வரை	tekenen
பின்னர்	straks
பின்னர்	daarna
பின்னர்	dan
ஆனால்	maar
வேண்டும்	noodzaak
வேண்டும்	willen
வேண்டும்	nood
வேண்டும்	behoefte
வேண்டும்	moet
வேண்டும்	nodig
வேண்டும்	wil
வேண்டும்	wilt
கொண்டு	met
கொண்டு	gebracht
கொண்டு	breng
கொண்டு	bracht
கொண்டு	brengen
கொண்டு	meegebracht
பட்டியல்	lijstje
பட்டியல்	lijst
அமைந்துள்ள	gelokaliseerd
பெண்கள்	meiden
பெண்கள்	vrouwtjes
பெண்கள்	meisjes
பெண்கள்	vrouwen
கொண்டுள்ளது	bevat
கொண்டுள்ளது	heeft
போது	gedurende
போது	tijdens
போது	wanneer
இணைப்புகள்	aansluitingen
இணைப்புகள்	bijlagen
இணைப்புகள்	verbindingen
இணைப்புகள்	connecties
இரண்டு	twee
தகவல்	bericht
தகவல்	gegevens
தகவல்	boodschap
தகவல்	berichtje
தகவல்	informatie
மொத்த	totaal
வளர்ச்சி	ontwikkeling
வளர்ச்சி	groei
அந்த	dat
மிகவும்	zeer
திட்டம்	plannen
தேசிய	nationaal
தேசிய	nationale
கலந்து	bijwonen
இங்கு	hier
அமெரிக்க	amerikaans
அமெரிக்க	amerikaan
அமெரிக்க	amerikaanse
அடிப்படை	fundamentele
அடிப்படை	basis
அடிப்படை	grondslag
பெயர்	naam
பெயர்	etiket
மூன்று	drie
ஆண்கள்	reuen
ஆண்கள்	mannen
ஆண்கள்	mannetjes
ஒன்று	een
ஒன்று	eén
ஒன்று	hetzij
ஒன்று	verzamelen
ஒன்று	ofwel
ஒன்று	één
ஐக்கிய	verenigd
ஐக்கிய	verenigde
புதிய	verse
புதிய	nieuwe
புதிய	nieuw
புதிய	fris
புதிய	vers
அவரது	zijn
அவரது	haar
மொத்தம்	totalen
மொத்தம்	totaal
இவை	deze
சிறந்த	groot
சிறந்த	beste
சிறந்த	uitstekend
சிறந்த	fantastisch
சிறந்த	voortreffelijk
சிறந்த	uitmuntend
சிறந்த	geweldig
அரசு	regering
அரசு	overheid
வசதிகள்	faciliteiten
பெரிய	fantastisch
பெரிய	geweldig
பெரிய	groot
பெரிய	grote
நாள்	dag
நாள்	dagje
பிறப்பு	geboren
பிறப்பு	geboorte
பிறப்பு	generieke
பிறப்பு	luik
முக்கிய	belangrijkste
முக்கிய	belangrijke
முக்கிய	belangrijk
முக்கிய	voornaamste
பல்வேறு	diverse
பல்வேறு	variatie
பல்வேறு	variëteit
பல்வேறு	verschillende
இருந்த	waren
திரைப்படங்கள்	bioscoop
திரைப்படங்கள்	films
பிற	overig
பிற	ander
பிற	overige
பிற	andere
அவர்கள்	zij
அவர்கள்	ze
அவர்கள்	hen
மொழி	taal
மொழி	taalgebruik
முறை	modus
முறை	methode
கோயில்	tempel
விருது	gunning
விருது	onderscheiding
பொதுவாக	algemeen
பொதுவாக	algemene
பொதுவாக	generaal
அக்டோபர்	oktober
அக்டோபர்	lgo
செய்து	gepleegd
செய்து	toegewijd
செய்து	geëngageerde
செய்து	begaan
செய்து	vastgelegde
தன்	gooit
தன்	zijn
தன்	worpen
தொடர்ந்து	houden
தொடர்ந்து	houd
இரண்டாம்	secundaire
இரண்டாம்	tweede
இரண்டாம்	secundair
வரும்	komt
வரும்	komen
மே	mei
மே	moge
மே	mogen
மே	mag
ஒவ்வொரு	ieder
ஒவ்வொரு	elk
ஒவ்வொரு	iedere
ஒவ்வொரு	elke
மட்டுமே	alleen
மட்டுமே	enkel
மட்டுமே	slechts
வரலாறு	geschiedenis
பகுதியில்	oppervlakte
பகுதியில்	gebied
நூல்கள்	boeken
பின்	terug
பின்	pincode
பின்	rug
பின்	speld
பின்	vastzetten
பின்	na
இல்லை	niet
அதிக	hoog
அதிக	hoge
காலத்தில்	periode
காலத்தில்	tijdvak
மிக	kiespijn
மிக	zeer
நான்கு	vier
பிறகு	straks
பிறகு	daarna
பிறகு	dan
பிறகு	na
அரசியல்	politieke
அரசியல்	politiek
பகுதி	deel
பகுதி	gedeelte
பகுதி	partiële
பகுதி	gedeeltelijk
பகுதி	gedeeltelijke
பகுதி	oppervlakte
பகுதி	gebied
பகுதி	regio
பற்றி	ongeveer
பற்றி	over
ஆறு	rivier
ஆறு	zes
மீண்டும்	nogmaals
மீண்டும்	alweer
மீண்டும்	opnieuw
இங்கிலாந்து	engeland
காலம்	periode
காலம்	tijd
காலம்	tijdvak
காலம்	seizoen
நிலை	staat
நிலை	niveau
நிலை	positie
ஒரே	zelfde
ஒரே	hetzelfde
போர்	oorlog
காரணமாக	verschuldigde
காரணமாக	verschuldigd
பொருள்	onderwerp
பொருள்	produkt
பொருள்	synoniemen
பொருள்	materiaal
பொருள்	proefpersoon
பொருள்	voorwerp
அறிவியல்	wetenschap
அறிவியல்	wetenschappen
பேச்சு	praten
பேச்சு	redevoering
பேச்சு	toespraak
பேச்சு	praat
பேச்சு	spraak
இதனால்	met
அனைத்து	allen
அனைத்து	alles
அனைத்து	alle
அனைத்து	allemaal
கல்வி	onderwijs
கல்வி	opvoeding
உலக	wereldwijd
உலக	mondiale
உலக	globaal
உலக	wereld
கே	homo
கே	homoseksueel
முடியும்	kunnen
முடியும்	kunt
முடியும்	kan
கீழ்	onder
கீழ்	lager
கீழ்	lagere
கீழ்	bodem
கீழ்	omlaag
கீழ்	onderkant
இடம்	ruimte
இடம்	plaats
இடம்	locatie
இடம்	lokatie
இடம்	ligging
இடம்	spatie
பேர்	overigen
பேர்	anderen
பேர்	overige
பேர்	andere
பெரும்	fantastisch
பெரும்	geweldig
பெரும்	groot
நாடுகள்	landen
தொகுதி	systeem
தொகுதி	stelsel
கிழக்கு	oostelijke
கிழக்கு	oost
கிழக்கு	oostelijk
கிழக்கு	oosten
அமைப்பு	systeem
அமைப்பு	structuur
அமைப்பு	organisatie
அமைப்பு	valstrik
அமைப்பு	instellen
அமைப்பு	stelsel
அளவு	schaal
அளவு	maat
அளவு	kwantiteit
அளவு	schalen
அளவு	bedrag
அளவு	grootte
அளவு	afmeting
அளவு	formaat
அளவு	omvang
அளவு	hoeveelheid
மற்ற	overig
மற்ற	ander
மற்ற	overige
மற்ற	andere
இந்து	hindoe
இவற்றையும்	deze
தற்போது	nu
தற்போது	momenteel
பாடல்	nummer
பாடல்	zang
பாடல்	liedje
பாடல்	lied
உண்டு	heb
உண்டு	hebben
உண்டு	verkrijgbaar
உண்டு	beschikbaar
உண்டு	beschikbare
வாழும்	levende
இருக்கிறது	beschikbaar
இருக்கிறது	verkrijgbaar
இருக்கிறது	beschikbare
நிறுவனம்	werkgevers
நிறுவனம்	gezelschap
நிறுவனம்	organisatie
நிறுவனம்	onderneming
நிறுவனம்	werkgever
நிறுவனம்	bedrijf
நபர்கள்	mensen
நபர்கள்	personen
துடுப்பாட்டக்காரர்	cricketspeler
காலனி	kolonie
மேற்கு	westelijk
மேற்கு	westen
தலைவர்	leider
தலைவர்	voorzitter
முதலில்	eerst
முதலில்	eerste
சார்ந்த	relatief
சார்ந்த	gebaseerd
சார்ந்த	afhankelijkheid
சார்ந்த	relatieve
மேல்	bovenkant
மேல்	bovenste
நாடு	land
மட்டும்	alleen
மட்டும்	enkel
மட்டும்	slechts
அடிப்படையில்	grondslag
எண்	aantal
எண்	getal
எண்	tellen
எண்	telling
எண்	nummer
எண்	tel
எண்	graaf
குறிப்பிட்ட	specifieke
குறிப்பிட்ட	gespecificeerde
