que	那個
una	一
una	一個
categoría	類別
como	讚
como	就像
como	像
como	喜歡
como	如何
más	更多
más	更
más	多
sus	你的
sus	他的
también	太
también	還
también	也
este	這
este	東
este	東方
este	東部
este	東區
este	這個
pero	但
pero	但是
pero	不過
años	年份
años	歲月
dos	二
dos	兩
dos	兩個
sobre	關於
sobre	信封
año	年
año	年份
año	年度
desde	來自
desde	從
esta	這
esta	這個
hasta	甚至
hasta	直到
ciudad	城鎮
ciudad	市
ciudad	城
ciudad	鎮
ciudad	城市
parte	宴會
parte	派對
parte	黨
parte	政黨
parte	聚會
san	聖
san	聖人
nacional	國家
primera	第一
primera	首先
cuando	當
nombre	名稱
nombre	名字
nombre	姓名
estados	國家
siglo	世紀
después	後
después	稍後
después	之後
después	後來
después	以後
españa	西班牙
otros	其他
gran	大
gran	棒
gran	偉大
estado	現況
estado	條件
estado	州
estado	國家
estado	狀態
estado	狀況
uno	一
uno	一個
lugar	會場
lugar	地方
lugar	位置
lugar	所在地
lugar	場地
lugar	地點
primer	第一
primer	首先
población	人口
muy	非常
mismo	相同
nueva	新
nueva	新的
historia	歷史
historia	故事
historia	動態
universidad	書院
universidad	大學
universidad	學院
forma	表格
forma	形式
forma	形狀
tres	三
tres	三個
grupo	群
grupo	群組
guerra	戰
guerra	戰爭
aunque	雖然
aunque	儘管
tras	後
tras	之後
familia	家人
familia	家庭
familia	家屬
además	加
además	還
además	也
además	加上
todo	一切
todo	一切都
todo	全部
todo	所有
sur	南部
sur	南方
sur	南
mayor	主要
mayor	少校
mayor	主修
tiempo	氣象
tiempo	時間
tiempo	時光
tiempo	天氣
provincia	省省
provincia	省份
provincia	省
partido	宴會
partido	匹配
partido	派對
partido	黨
partido	比對
partido	政黨
partido	聚會
contra	櫃台
encuentra	尋找
encuentra	找到
municipio	鄉
municipio	市
otras	其他
todos	大家
todos	所有
todos	全部
todos	每個人
juan	瓊
josé	約瑟夫
josé	約瑟
bajo	低低
bajo	低
bajo	低音
serie	系列
serie	串列
cada	每個
cada	每一個
fútbol	橄欖球
fútbol	美式足球
fútbol	足球
equipo	球隊
equipo	團隊
equipo	隊伍
equipo	裝備
norte	北方
norte	北
norte	北部
río	河流
río	江河
río	河
río	江
méxico	墨西哥
nuevo	新
nuevo	新的
véase	見
junto	沿
septiembre	九月
septiembre	九月份
octubre	十月
octubre	十月份
segunda	秒
segunda	第二
gobierno	政府
gobierno	施政
gobierno	治理
condado	郡
condado	縣
final	決賽
final	結束
final	終結
final	結尾
vida	生命
vida	人生
vida	生活
personas	人民
personas	人
personas	人們
español	西班牙語
español	西班牙文
centro	市區
centro	中心
julio	七月份
julio	七月
país	國家
web	網頁
web	網站
internacional	國際
santa	聖
santa	聖人
santa	神聖
antes	先前
antes	前
antes	以前
antes	之前
antes	早先
oficial	官
oficial	軍官
quien	誰
mundo	世界
mayo	五月
mayo	五月份
mayo	梅
algunos	有些
algunos	一些
temporada	季節
temporada	季
mejor	更好
mejor	最好
luego	那
luego	那麼
luego	然後
marzo	三月
día	日
día	一天
día	白天
madrid	利物浦
enero	揚
enero	楊
enero	一月
número	號碼
número	數字
número	編號
número	數
agosto	八月份
agosto	八月
diciembre	十二月
artículo	項目
noviembre	十一月
otro	其他
estos	這些
abril	四月份
abril	四月
región	區域
sistema	系統
habitantes	居民
maría	瑪麗
maría	瑪莉
maría	瑪利亞
maría	瑪麗亞
real	皇家
real	皇室
esto	這
esto	這個
mundial	全球
mundial	世界
música	音樂
presidente	主席
presidente	總統
casa	家
casa	房子
casa	房屋
casa	屋
casa	住家
casa	首頁
sólo	只
sólo	只要
sólo	只是
sólo	只有
álbum	專輯
álbum	相簿
debido	到期
cuenta	帳戶
cuenta	數
cuenta	數數
cuenta	計數
