और	en
से	van
से	vanaf
से	uit
एक	één
एक	eén
एक	een
श्रेणी	reeksen
श्रेणी	reeks
श्रेणी	categorieën
श्रेणी	serie
श्रेणी	categorie
भी	ook
भी	zelfs
यह	deze
यह	dit
किया	gedaan
किया	klaar
किया	deed
इस	deze
इस	dit
हैं	zijn
कि	dat
जो	wie
रूप	formulier
रूप	verschijning
रूप	uiterlijk
रूप	vorm
कर	belastingen
कर	belasting
नहीं	niet
गया	ging
साथ	met
साथ	samen
पूर्व	voormalige
पूर्व	oost
पूर्व	oosten
पूर्व	voormalig
होता	zou
बाद	straks
बाद	na
तक	tot
अपने	je
अपने	uw
अपने	jouw
अपने	eigen
जिले	districten
जिले	wijken
था	hadden
था	gehad
राज्य	staat
राज्य	staten
बाहरी	buitenshuis
बाहरी	uitwendig
बाहरी	buitenste
बाहरी	externe
बाहरी	buiten
बाहरी	extern
कुछ	sommigen
कुछ	enkele
कुछ	iets
कुछ	sommige
ईसा	jezus
गाँव	dorp
गाँव	dorpje
सरकार	regering
सरकार	overheid
सरकार	kriebels
कड़ियाँ	ketens
कड़ियाँ	ketenen
कड़ियाँ	kettingen
प्रदेश	regio
दिया	gegeven
दिया	gaf
अन्य	ander
अन्य	overige
अन्य	overig
अन्य	overigen
अन्य	andere
अन्य	anderen
वर्ष	jaar
वर्ष	jaren
समय	tijd
नाम	naam
वे	zij
वे	ze
प्रकार	soorten
प्रकार	typen
प्रकार	typ
प्रकार	soort
भारतीय	indische
भारतीय	indisch
भारतीय	indiase
भारतीय	indiaas
भारतीय	indiaan
किसी	iemand
क्षेत्र	gebieden
क्षेत्र	oppervlakten
क्षेत्र	oppervlakte
क्षेत्र	gebied
क्षेत्र	regio
अधिक	meer
कई	veel
कई	velen
कई	verscheidene
कई	verschillende
कई	meerdere
कई	vele
स्थित	gelokaliseerd
मण्डल	gebied
आधिकारिक	officieel
आधिकारिक	ambtenaar
आधिकारिक	officiële
कारण	reden
कारण	veroorzaken
कारण	veroorzaakt
कारण	oorzaken
कारण	rede
कारण	oorzaak
कारण	redenen
जैसे	zoals
करता	doet
करता	pestkoppen
उनके	hun
उनके	hen
सबसे	meest
सबसे	meesten
सबसे	meeste
बहुत	zeer
पहले	voordat
पहले	eerste
पहले	vóór
पहले	eerst
पहले	eerder
पहले	geleden
अपनी	vleselijke
अपनी	eigen
दो	twee
जब	wanneer
उन्होंने	zij
उन्होंने	ze
उन्होंने	egyptenaren
जन्म	geboren
जन्म	geboorte
कोई	elke
इन	herberg
लेकिन	maar
ये	deze
ये	dit
कम	minder
कम	lage
कम	laag
कहा	gezegd
कहा	zei
लोग	mensen
लोग	personen
आदि	meer
आदि	enz
उसके	zijn
उसके	haar
प्राचीन	primitief
प्राचीन	primitieve
देखें	kijken
देखें	zien
देखें	zie
देखें	kijk
देखें	uitzicht
देखें	bekijk
देखें	weergave
देखें	bekijken
उत्तर	antwoorden
उत्तर	noord
उत्तर	beantwoorden
उत्तर	noorden
उत्तर	antwoord
भाषा	talen
भाषा	taalgebruik
भाषा	taal
लिये	voor
सभी	allen
सभी	alles
सभी	alle
सभी	allemaal
प्राप्त	ontvang
प्राप्त	verkregen
प्राप्त	ontvangen
प्रयोग	gebruik
प्रयोग	experimenteren
प्रयोग	proefnemingen
प्रयोग	proeven
प्रयोग	experimenten
शामिल	omvat
शामिल	inclusief
शामिल	inbegrepen
शामिल	betrokken
उन्हें	hen
उस	dat
स्थान	plaats
स्थान	locatie
स्थान	locaties
स्थान	lokatie
स्थान	plaatsen
स्थान	ligging
प्रमुख	belangrijkste
प्रमुख	hoofdvak
प्रमुख	majoor
प्रमुख	voornaamste
प्रमुख	chef
प्रमुख	opperhoofd
बीच	centreren
बीच	centrum
गए	ging
मुख्य	chef
मुख्य	belangrijkste
मुख्य	voornaamste
मुख्य	opperhoofd
उसे	hem
उसे	haar
कार्य	taken
कार्य	vacatures
कार्य	banen
कार्य	werken
कार्य	klussen
कार्य	arbeid
कार्य	werk
कार्य	baan
कार्य	taak
उनकी	hun
नगर	stad
उपयोग	gebruik
उपयोग	gebruiken
लोगों	mensen
लोगों	personen
आधार	veronderstelling
आधार	basis
आधार	grondslag
काम	arbeid
काम	werk
काम	werken
जीवन	leven
विश्व	wereld
भाग	secties
भाग	delen
भाग	onderdelen
भाग	afdelingen
भाग	deel
भाग	gedeelte
निर्माण	opbouw
निर्माण	creatie
निर्माण	fabricage
निर्माण	opbouwen
