மற்றும்	y
ஒரு	una
ஒரு	uno
இந்த	estas
இந்த	este
இந்த	estos
இந்த	esto
இந்த	éstos
இந்த	esta
இந்த	éstas
ஆம்	si
ஆம்	sí
இது	esto
இது	este
இது	esta
மக்கள்	pueblo
மக்கள்	personas
மக்கள்	gente
மக்கள்	pueblos
என்ற	las
என்ற	titulado
என்ற	derivada
என்ற	los
என்ற	la
என்ற	derivado
என்ற	el
ஆண்டு	año
என்று	eso
என்று	que
தமிழ்	tamiles
இந்திய	hindú
இந்திய	indio
இந்திய	india
இந்திய	indios
இருந்து	de
இருந்து	desde
பல	muchas
பல	multiples
பல	múltiples
பல	múltiple
பல	muchos
முதல்	primeros
முதல்	primeras
முதல்	primero
முதல்	primera
முதல்	desde
முதல்	primer
முதல்	de
மேலும்	mas
மேலும்	más
தொகை	importe
தொகை	cantidad
தொகை	monto
சில	algunos
சில	pocos
சில	pocas
சில	algunas
உள்ளது	disponibles
உள்ளது	existe
உள்ளது	disponible
அவர்	su
அவர்	ella
அவர்	él
இருக்கும்	existentes
இருக்கும்	existente
வெளி	externos
வெளி	externa
வெளி	externo
வெளி	espaciales
வெளி	externalización
வெளி	exterior
வெளி	espacio
வெளி	espacial
வெளி	subcontratación
அமைந்துள்ளது	ubicado
அமைந்துள்ளது	situado
அமைந்துள்ளது	localizada
அமைந்துள்ளது	localizado
மூலம்	origen
மூலம்	fuente
மூலம்	procedencia
மூலம்	originales
கொண்ட	contenidas
கொண்ட	contenida
வரை	dibujar
வரை	sorteo
வரை	hasta
வரை	empate
வரை	dibuja
பின்னர்	después
பின்னர்	luego
பின்னர்	entonces
பின்னர்	posteriormente
ஆனால்	sino
ஆனால்	pero
வேண்டும்	necesito
வேண்டும்	necesita
வேண்டும்	deberían
வேண்டும்	querer
வேண்டும்	debería
வேண்டும்	quiero
வேண்டும்	necesitar
வேண்டும்	deberia
வேண்டும்	debiera
வேண்டும்	quieren
வேண்டும்	quieres
வேண்டும்	necesidad
கொண்டு	traída
கொண்டு	traído
கொண்டு	trae
கொண்டு	traiga
கொண்டு	trajo
கொண்டு	traigan
கொண்டு	con
கொண்டு	traido
கொண்டு	traer
பட்டியல்	lista
பட்டியல்	listado
அமைந்துள்ள	ubicado
அமைந்துள்ள	situado
அமைந்துள்ள	localizada
அமைந்துள்ள	localizado
அதன்	sus
அதன்	su
பெண்கள்	niñas
பெண்கள்	femenino
பெண்கள்	mujeres
பெண்கள்	chicas
பெண்கள்	hembras
பெண்கள்	mujer
பெண்கள்	muchachas
கொண்டுள்ளது	tiene
கொண்டுள்ளது	ha
கொண்டுள்ளது	contiene
கொண்டுள்ளது	contenga
போது	durante
போது	cuando
போது	cuándo
இணைப்புகள்	acoplamientos
இணைப்புகள்	adjuntos
இணைப்புகள்	anexos
இணைப்புகள்	vínculos
இணைப்புகள்	enlaces
இணைப்புகள்	conexiones
இரண்டு	dos
தகவல்	mensajes
தகவல்	información
தகவல்	mensaje
தகவல்	informaciones
தகவல்	informacion
மாவட்ட	distrito
மொத்த	totales
வளர்ச்சி	crecimiento
வளர்ச்சி	desarrollo
மாவட்டம்	distrito
அந்த	eso
அந்த	que
மிகவும்	muy
திட்டம்	proyecto
திட்டம்	proyectar
திட்டம்	plano
தேசிய	nacional
தேசிய	nacionales
கலந்து	asistiendo
கலந்து	asistir
இலங்கை	ceilán
இங்கு	aqui
இங்கு	aquí
இங்கு	acá
இங்கு	aca
அமெரிக்க	americano
அமெரிக்க	americana
அமெரிக்க	estadounidense
அமெரிக்க	americanos
அடிப்படை	básicas
அடிப்படை	básica
அடிப்படை	básico
அடிப்படை	básicos
பெயர்	nombre
பெயர்	etiqueta
பெயர்	etiquetar
பெயர்	denominación
மூன்று	tres
ஆண்கள்	hombres
ஆண்கள்	varones
ஆண்கள்	machos
ஒன்று	una
ஒன்று	reunir
ஒன்று	uno
ஐக்கிய	unido
ஐக்கிய	unida
ஐக்கிய	unidos
ஐக்கிய	unió
புதிய	frescos
புதிய	nuevas
புதிய	nueva
புதிய	frescas
புதிய	fresco
புதிய	nuevo
புதிய	fresca
புதிய	novedades
புதிய	novedad
புதிய	nuevos
அவரது	sus
அவரது	ella
அவரது	su
மொத்தம்	totales
இவை	estos
இவை	éstos
இவை	estas
இவை	éstas
சிறந்த	excelente
சிறந்த	excelentes
சிறந்த	genial
சிறந்த	estupendo
சிறந்த	mejores
சிறந்த	mejor
சிறந்த	gran
சிறந்த	grandioso
அரசு	gobierno
வசதிகள்	facilidades
வசதிகள்	instalaciones
பெரிய	genial
பெரிய	estupendo
பெரிய	grandes
பெரிய	grande
பெரிய	gran
பெரிய	grandioso
ஊரக	rurales
நாள்	dia
நாள்	día
பிறப்பு	nacido
பிறப்பு	nacimientos
பிறப்பு	genérica
பிறப்பு	genérico
பிறப்பு	nacidos
பிறப்பு	nacimiento
பிறப்பு	natalidad
பிறப்பு	parto
பிறப்பு	escotilla
இருந்தது	estaba
இருந்தது	fue
இருந்தது	era
முக்கிய	importantes
முக்கிய	principales
முக்கிய	importante
முக்கிய	principal
பல்வேறு	variedad
பல்வேறு	varios
பல்வேறு	varias
இருந்த	eran
இருந்த	estaban
இருந்த	fueron
திரைப்படங்கள்	peliculas
திரைப்படங்கள்	cine
திரைப்படங்கள்	películas
பிற	otros
பிற	otro
பிற	otras
அவர்கள்	ellas
அவர்கள்	ellos
மொழி	idioma
மொழி	idiomas
மொழி	lenguaje
மொழி	lengua
முறை	procedimiento
முறை	modalidad
முறை	modo
முறை	método
கோயில்	templos
கோயில்	templo
கோயில்	sien
விருது	laudo
விருது	adjudicación
விருது	premio
விருது	galardón
விருது	premios
பொதுவாக	generales
பொதுவாக	generalidades
அக்டோபர்	octubre
செய்து	comprometido
செய்து	cometido
செய்து	comprometidos
செய்து	comprometida
தன்	sus
தன்	su
