من	출신
تصنيف	분류
تصنيف	분류법
تصنيف	평점
تصنيف	평가하기
تصنيف	별점
تصنيف	분류학
تصنيف	평가
عن	대략
عن	소개
عام	공공
عام	일반인
عام	공개
عام	일반
عام	장군
عام	공중
عام	연도
اسم	이름
مع	함께
المنطقة	지대
المنطقة	면적
المنطقة	영역
المنطقة	지방
المنطقة	구역
المنطقة	지역
هو	그를
هي	그녀는
هي	그녀
هي	그녀의
سنة	연도
هذه	이거
عدد	번호
عدد	숫자
الذي	어느
بعد	아직
هذا	이거
لا	아님
تعليق	댓글
تعليق	코멘트
تاريخ	데이트
تاريخ	내역
تاريخ	역사
تاريخ	기록
تاريخ	날짜
تاريخ	히스토리
حيث	어디
حيث	어디서
حيث	어디로
حيث	어디에
نوع	정렬
نوع	유형
نوع	형식
نوع	종류
نوع	타입
نوع	친절한
نوع	친절
سطر	라인
المتحدة	유나이티드
خط	라인
خط	글꼴
عبد	노예
عبد	노예제
التوقيت	타이밍이
التوقيت	타이밍
التعداد	열거
التعداد	인구조사
المسؤول	책임감
المسؤول	책임
المسؤول	운영자
المسؤول	관리자
مدينة	도시
مدينة	시티
محمد	모하마드
محمد	모하메드
محمد	무함마드
محمد	무하마드
المدينة	마을
المدينة	도시
المدينة	시내
المدينة	타운
المدينة	시티
قبل	전에
قبل	이전
تم	완료
كل	먹기
كل	먹어
كل	전체
كل	모두
الله	하느님
الله	하나님
غير	바뀌기
غير	바꾸기
غير	변경
غير	변화
حتى	조차도
حتى	심지어
مساحة	스페이스
مساحة	면적
مساحة	영역
مساحة	공간
مساحة	우주
مساحة	구역
مساحة	지역
محافظة	보수
محافظة	보수주의
خلال	통해
اليمن	남예멘
اليمن	예멘
ثم	그러면
ثم	그렇다면
ثم	그때
خارجية	실외
خارجية	야외
خارجية	외부
توقيت	타이밍이
توقيت	타이밍
الصورة	사진
الصورة	그림
الصورة	이미지
علم	카피
علم	복사
علم	깃발
علم	복사본
علم	사본
علم	국기
علم	플래그
له	그를
خريطة	지도
بعض	일부
فرق	차이
فرق	차이점
قدم	발발
العربية	아랍인
العربية	아라비아어
العربية	아랍
العربية	아랍어
العربية	아라비아
قائمة	리스트
قائمة	목록
قائمة	메뉴
قائمة	명단
مقاطعة	보이콧
تقسيم	스플릿
تقسيم	스플리트
تقسيم	파티션
تقسيم	나누기
تقسيم	분할
العالم	과학자
العالم	세상
العالم	월드
العالم	세계
القرن	세기
الموقع	위치
الثاني	두번째
الثاني	둘째
القدم	다리
القدم	발발
علي	알리
منطقة	지대
منطقة	면적
منطقة	영역
منطقة	지방
منطقة	구역
منطقة	지역
انظر	표정
الرمز	기호
الرمز	코드
الرمز	상징
الرمز	부호
البلد	시골
البلد	국가
البلد	컨트리
البلد	나라
مدن	도시
تعداد	열거
نتيجة	결과
الكلية	콩팥
الكلية	대학교
الكلية	대학생
الكلية	신장
الكلية	대학
الكلية	칼리지
الكلية	교수
الكلية	학부
ولاية	국가
ولاية	상태
نادي	클럽
العرض	디스플레이
العرض	쿠폰
العرض	표시하기
العرض	표시
العرض	보이기
العرض	프레젠테이션
العرض	너비
العرض	공연
الوطني	애국자
الوطني	패트리어트
جامعة	대학교
جامعة	대학
المساحة	구역
المساحة	면적
المساحة	지역
المساحة	영역
الطول	길이
الطول	높이
الطول	키는
الحياة	생명
الحياة	생활
الحياة	라이프
الحياة	인생
مصر	이집트
وصلات	링크
المركز	센터
المركز	중심
المركز	중앙
ولكن	근데
ولكن	그러나
ولكن	하지만
ولكن	그런데
المياه	워터
المياه	물이
مجموعة	모음집
مجموعة	집단
مجموعة	그룹
مجموعة	컬렉션
مجموعة	콜렉션
لها	그녀의
لها	그녀
قرى	마을
موقع	위치
مكان	장소
نقاش	논의
نقاش	토론
نقاش	논쟁
الثالث	세번째
الثالث	셋째
هناك	거기
هناك	거기에
تحت	아래
تحت	아래쪽
تحت	아래에
منذ	언제부터
منذ	이후
منذ	이후부터
حجم	볼륨
حجم	크기
حجم	사이즈
الشيخ	셰이크
العديد	많은
المحافظة	보수
المحافظة	보전
المحافظة	보존
المحافظة	보수주의
الحرب	전쟁
قرية	빌리지
قرية	마을
العام	연도
رئيس	치프
رئيس	사장님
رئيس	대통령
رئيس	회장
رئيس	과장
رئيس	보스
عندما	언제
عندما	언제쯤
الكثافة	강조
الكثافة	강도
الكثافة	밀도
الوفاة	사망
الوفاة	데스
الوفاة	죽음
شعار	로고
شعار	엠블렘
شعار	좌우명
عزلة	고립
عزلة	격리
ابن	아들
حول	대략
حول	소개
العمل	활동
العمل	퇴근
العمل	행동
العمل	사업
العمل	동작
العمل	직장
العمل	액션
العمل	업체
العمل	비즈니스
العمل	작업
الخريطة	지도
الرسمي	공식
سنوات	수년
بسبب	왜냐면
بسبب	왜냐하면
يوم	하루
يوم	데이
كتابة	글쓰기
كتابة	쓰기
طريق	로드
طريق	도로
الدين	종교
الدين	채무
الدين	부채
مركز	센터
مركز	중심
مركز	중앙
ملف	파일
لكن	근데
لكن	그러나
لكن	하지만
لكن	그런데
جميع	전체
جميع	모두
العربي	아랍인
العربي	아랍
مجلس	협의회
مجلس	평의회
الثانية	두번째
الثانية	둘째
قيد	제약
السكان	주민들
السكان	인구
السكان	레지던트
السكان	인구순
الدولة	국가
الدولة	상태
قال	말했다
عدة	여러개
الاسم	이름
ولد	남자아이
ولد	소년
ولد	탄생
ولد	보이
ولد	출생
البحر	바다
شركة	회사
شركة	컴퍼니
شركة	기업
فيلم	필름
فيلم	영화
صورة	사진
صورة	그림
صورة	이미지
بطولة	출연
بطولة	대회
بطولة	토너먼트
بطولة	챔피언십
بطولة	주연
بطولة	챔피언쉽
وفيات	죽음
نباتات	식물학
نباتات	식물
الولادة	탄생
الولادة	출생
الولادة	출산
المملكة	킹덤
المملكة	사우디아
المملكة	왕국
البريدي	우편
بني	아들
الدوري	동맹
الدوري	리그
خلفية	배경색
خلفية	배경
فقط	그냥
فقط	오직
فقط	단발
فقط	단지
نظام	체계
نظام	시스템
مرة	한번
فرنسا	프랑스
قسم	부서
قسم	섹션
السعودية	사우디아
فترة	기간
فترة	주기
فترة	시대
عقد	목걸이
عقد	계약서
عقد	계약
والذي	어느
مارس	행진
مارس	마스
مارس	행진곡
مارس	화성
رقم	번호
رقم	숫자
اليوم	하루
اليوم	데이
اليوم	오늘
اليوم	오늘도
يناير	일월
اللغة	언어
عمل	퇴근
عمل	사업
عمل	욥기
عمل	업체
عمل	직장
عمل	비즈니스
عمل	직업
عمل	작업
جنوب	사우스
جنوب	남방
جنوب	남부
جنوب	남쪽
العالمية	글로벌
العالمية	전역
منتخب	선출
الوقت	타임
الوقت	시간
عملية	프로세스
عملية	절차
عملية	작전
عملية	과정
عملية	작동
واحد	하나
شمال	노스
شمال	북부
شمال	북쪽
مراجع	참고
مراجع	참조
الاتحاد	연맹
الاتحاد	유니언
الاتحاد	연합
الاتحاد	동맹
الاتحاد	연방
العراق	이라크
سبتمبر	구월
عبر	비아
عبر	통해
استخدام	사용하다
استخدام	사용하기
استخدام	이용
استخدام	사용
استخدام	이용하기
العامة	공중
العامة	공개
العامة	공공
نفس	똑같이
نفس	같은
نفس	동일
نحو	향해
ديسمبر	적위
كبيرة	대형
الجيش	군대
الجيش	군사
الجيش	육군
المساكن	숙소
المساكن	주택
واحدة	하나
داخل	인사이드
داخل	내부
لاعب	플레이어
لاعب	선수
لاعب	재생기
سطح	지표면
سطح	옥상
سطح	지붕
سطح	표면
الفترة	기간
الفترة	주기
الفترة	시대
بينما	동안
دولة	국가
دولة	상태
الدولي	인터내셔널
الدولي	국제
كتب	서면
بلدة	도시
بلدة	시내
بلدة	타운
بلدة	마을
درجة	학위
خاصة	스페셜
خاصة	특히
خاصة	특별
خاصة	특별한
خاصة	특수
خاصة	비공개
الحكومة	정부
القوات	군대
ليس	아님
ملعب	스타디움
ملعب	경기장
ملعب	놀이터
متر	미터
الوطنية	내셔널
الوطنية	국립
الوطنية	국민
حالة	사례
حالة	조건
حالة	케이스
حالة	대소문자
حالة	상태
الفيلم	필름
الفيلم	영화
كلية	콩팥
كلية	대학교
كلية	대학생
كلية	신장
كلية	대학
كلية	칼리지
كلية	교수
كلية	학부
مليون	백만명
مليون	백만
الدرجة	학위
عمر	오마르
الخاصة	비공개
الرئيس	회장님
الرئيس	치프
الرئيس	대통령
الرئيس	회장
الرئيس	과장
حين	언제
حين	언제쯤
الشمالية	북부
بداية	시작하기
بداية	시작
يسار	왼쪽
يسار	좌파
شرق	동방
شرق	동부
شرق	이스트
شرق	동쪽
الكثير	많은
الكثير	많이
قوالب	템플릿
ويكيبيديا	위키백과의
ويكيبيديا	위키백과
نهاية	종료
نهاية	끝내기
العزلة	고립
العزلة	격리
زوجي	남편
وسط	중간
وسط	중부
وسط	센트럴
وسط	가운데
دور	역할
القرية	빌리지
القرية	마을
اليمنية	예멘
السنة	연도
حكم	심판
شكل	형태
شكل	양식
شكل	형식
شكل	모양
نسبة	비율
نسبة	비례
الناس	사람
الناس	사람들
الناس	명인
الناس	국민
المغرب	모로코
حرب	전쟁
الجهاز	장치
الجهاز	기기
الجهاز	단말기
معظم	대부분
معظم	대부분의
القاهرة	카이로
الحكم	심판
الحكم	판단력
الحكم	판결
الحكم	거버넌스
الحكم	판단
الشرقية	동부
الشرقية	동쪽
الشرقية	동양
الشرقية	이스트
الشرقية	동방
صفحة	페이지
القسم	부서
القسم	섹션
برنامج	프로그램
برنامج	소프트웨어
وقت	타임
وقت	시간
سوريا	시리아
النظام	체계
النظام	시스템
النظام	주문
النظام	순서
الجمهورية	공화국
مدرسة	학원
مدرسة	학교는
مدرسة	스쿨
مدرسة	학교
عرض	디스플레이
عرض	표시하기
عرض	표시
عرض	조회
عرض	보이기
عرض	프레젠테이션
عرض	보기
عرض	공연
الدولية	인터내셔널
الدولية	국제
المعلومات	정보
المدرسة	학원
المدرسة	학교는
المدرسة	스쿨
المدرسة	학교
بناء	건설
بناء	빌딩
بناء	빌드
بناء	공사
بناء	건축
بناء	건물
المقالة	기사
العرب	아랍인
العرب	아랍
التاريخ	데이트
التاريخ	내역
التاريخ	역사
التاريخ	기록
التاريخ	날짜
التاريخ	히스토리
مجال	도메인
مجال	영역
حركة	움직임
حركة	운동
حركة	모션
المقاطعة	보이콧
مسلسل	시리즈
التعليم	교육
التعليم	학력
التعليم	교육학
قالب	템플릿
تقرير	신고
تقرير	보고
تقرير	보고서
المناطق	지역
المناطق	영역
الحالي	현재
الحالي	선물
الحالي	전류
بيت	피트
بيت	피터
عضو	회원
عضو	멤버
لغة	언어
الشرق	오리엔트
الشرق	동부
الشرق	이스트
الشرق	동쪽
الجزائر	알제리
معركة	배틀
معركة	전투
الغربية	웨스턴
الغربية	서부
الغربية	서양
جبل	산악
جبل	마운트
الجزء	세그먼트
الجزء	부품
الجزء	부분
الجزء	파트
حسن	좋아요
حسن	알겠습니다
بوابة	게이트웨이
بوابة	대문
بوابة	포탈
بوابة	포털
بوابة	게이트
مقالة	기사
مقالة	에세이
مقالة	세이
نفسه	똑같이
نفسه	같은
نفسه	동일
قناة	운하
قناة	채널
المصرية	이집트어
المصرية	이집트
الخارجية	외부
النوع	유형
النوع	장르
النوع	형식
النوع	종류
النوع	타입
علماء	과학자
مناطق	지역
مناطق	영역
سلسلة	문자열
سلسلة	사슬
سلسلة	시리즈
سلسلة	연쇄
سلسلة	체인
البلاد	시골
البلاد	국가
البلاد	컨트리
البلاد	나라
فيديو	비디오
فيديو	동영상
العلوم	사이언스
العلوم	과학
جمهورية	공화국
عمان	오만의
عمان	오만
لبنان	레바논
عالم	과학자
عالم	학자
عالم	세상
عالم	월드
عالم	세계
الكويت	쿠웨이트
الدم	피피
الدم	혈액
الدم	블러드
المجلس	협의회
المجلس	평의회
الحزب	파티
شركات	회사
الفرنسية	프렌치
الفرنسية	프랑스
الفرنسية	프랑스어
الفرنسية	프랑스인
مستوى	레벨
مستوى	수준
مختلفة	다르다
مختلفة	달라
مختلفة	다름
تونس	튀니지
تونس	튀니스
عبارة	페리
عبارة	구문
عبارة	어구
ممثل	배우
ممثل	대표자
ممثل	대표
المجتمع	공동체
المجتمع	사회
المجتمع	커뮤니티
وادي	계곡
وادي	밸리
وادي	골짜기
حزب	파티
هنا	여기에
هنا	여기
يا	헤이
يتيمة	고아
الشباب	청년
الشباب	청춘
الشباب	청소년
الشباب	젊음
حسين	후세인
الجامعة	칼리지
الجامعة	대학교
الجامعة	대학생
الجامعة	대학
عين	눈빛
عين	아인
الماء	워터
الماء	물이
الدكتور	닥터
شارك	공유하기
شارك	공유해
شارك	공유
غرب	서부
غرب	웨스턴
غرب	웨스트
غرب	서쪽
غرب	서양
السياسية	정치적
السياسية	정치
معلومات	정보
عادة	보통
عادة	습관
عادة	버릇
العلم	깃발
العلم	사이언스
العلم	국기
العلم	플래그
العلم	과학
شخص	누군가
شخص	사람
عهد	통치
عهد	규약
عهد	시대
المصري	이집트어
المصري	이집트
دولار	달러
معاهدات	조약
الميلاد	탄생
الميلاد	출생
الميلاد	출산
النقطة	포인트
النقطة	지점
الشركة	기업인
الشركة	회사
الشركة	컴퍼니
الشركة	기업
العصر	오후
العصر	시대
فلسطين	팔레스타인인
فلسطين	팔레스타인
مجلة	매거진
مجلة	잡지
الثورة	혁명
الثورة	레볼루션
الثورة	레벌루션
المسلمين	무슬림
العاصمة	자본주의
العاصمة	수도
العاصمة	캐피털
العاصمة	자본
العاصمة	캐피탈
الحركة	활동
الحركة	움직임
الحركة	행동
الحركة	모션
الحركة	동작
الحركة	액션
الحركة	운동
الحركة	작업
جانب	측면
جانب	사이드
مواقع	위치
مواقع	사이트
مشروع	프로젝트
الطاقة	파워
الطاقة	에너지
الطاقة	권력
الطاقة	전력
الرئيسية	메인
مكتب	오피스
مكتب	사무실
مكتب	사무소
مكتب	데스크
مكتب	책상
صيفي	여름
جنس	성별
جنس	성교
جنس	섹스
جنس	성관계
عنوان	제목
عنوان	타이틀
عنوان	주소
الشمس	태양
الشمس	햇볕
جزء	부품
جزء	부분
جزء	파트
طول	길이
رجل	남성
رجل	사람
رجل	남자
الهند	인디아
الهند	인도
مقالات	기사
اليابان	일본
اليابان	재팬
المجموعة	모음집
المجموعة	집단
المجموعة	그룹
المجموعة	컬렉션
المجموعة	콜렉션
النادي	클럽
دوري	동맹
دوري	리그
المواد	물질
المواد	소재
المواد	재료
دراسة	공부
دراسة	연구
دراسة	공부하기
دراسة	공부해
سبب	원인
سبب	이유
المنتخب	선출
صفحات	페이지
الرحمن	라흐만
العليا	슈프림
العليا	윗쪽
العليا	상위
دورة	사이클
دورة	순환
دورة	주기
المحيطة	둘러싸인
العالمي	글로벌
العالمي	세상
العالمي	월드
العالمي	세계
العالمي	전역
حياة	생명
حياة	생활
حياة	라이프
حياة	인생
ذكور	남성
ذكور	수컷
روسيا	러시아
روسيا	러시아어
روسيا	러시아인
القانون	법학
القانون	법률
القانون	법칙
الرابع	네번째
الرابع	넷째
شخصية	캐릭터
شخصية	개인
شخصية	인물
شخصية	개인적
شخصية	문자
شخصية	개성
شخصية	개인적인
شخصية	인격
شخصية	개인용
شخصية	성격
المقالات	기사
تحديث	고침
تحديث	업데이트
تحديث	새로고침
تحديث	갱신
الطريق	웨이
الطريق	웨이팅
الطريق	도로
الطريق	로드
يعمل	일하기
يعمل	작동
يعمل	웍스
يعمل	작품
السابق	이전
صغيرة	작아
صغيرة	소작
نقل	교통수단
نقل	운송
نقل	전송
نقل	수송
نقل	교통
منظمة	조직
منظمة	기구
منظمة	단체
السلام	평화
السلام	피스
دمشق	다마스쿠스
بغداد	바그다드
المدن	도시
كثير	많은
قوات	군대
باستخدام	사용하기
الولاية	국가
الولاية	위임통치령
الولاية	상태
رمز	아이콘
رمز	코드
رمز	상징
رمز	기호
رمز	부호
جبال	산맥
نبات	식물학
نبات	공장
نبات	식물
البريطانية	영국인
البريطانية	영국
البريطانية	브리티시
الصين	차이나
الصين	중국
الصين	중국인
الجنسية	시민
الجنسية	국적
الجنسية	시민권
الجنسية	국적은
الشمال	노스
الشمال	북부
الشمال	북쪽
حي	동네
باريس	파리
موسم	시즌
موسم	계절
طلب	순서
طلب	요청
طلب	주문
طلب	요청하기
هم	그들이
هم	그들
هم	그들은
يلعب	연극
يلعب	재생
يلعب	연주
بلديات	코뮌
قانون	법학
قانون	법률
قانون	법칙
كلمة	워드
كلمة	단어
سباق	인종
سباق	경주
