ve	وال
bir	واحد
bir	واحدة
bir	واحده
bir	احد
bu	هذه
bu	ذلك
bu	هذا
de	اقول
de	قولي
de	قل
de	نقول
de	قول
ile	مع
için	لاجل
en	المفضلة
en	مفضلة
daha	اكثر
daha	مزيد
daha	اكتر
daha	المزيد
sonra	ثم
sonra	بعدما
sonra	بعد
sonra	لاحق
sonra	اذن
sonra	بعدها
sonra	اذا
sonra	لاحقا
ilk	الاولى
ilk	اولا
ilk	الاول
ilk	اول
çok	جدا
çok	ماتش
yer	موقع
yer	مكان
yer	الموقع
yer	المكان
gibi	لايك
gibi	مثل
dış	ديس
dış	المفرزة
büyük	كبير
büyük	ضخمة
büyük	الكبير
büyük	ضخم
büyük	كبيره
büyük	كبيرة
bağlantılar	اتصالات
bağlantılar	الروابط
bağlantılar	وصلات
bağlantılar	روابط
bağlantılar	الصلات
bağlantılar	الوصلات
bağlantılar	الارتباطات
bağlantılar	الاتصالات
türkiye	تركيا
iki	اثنتان
iki	اثنان
iki	اثنين
arasında	بين
ayrıca	ايضا
ayrıca	بالاضافة
ayrıca	بجانب
ayrıca	كمان
türk	الترك
türk	التركية
türk	التركي
türk	تركي
türk	تركية
türk	تورك
diğer	اخرى
yeni	جدد
yeni	جديدة
yeni	جديد
yeni	الجديد
un	الدقيق
un	الطحين
aynı	نفس
aynı	نفسه
kulüp	ناد
kulüp	النادي
kulüp	نادي
kulüp	كلوب
kulüp	نادى
bağlı	متصلة
bağlı	مرتبطة
bağlı	متصل
bağlı	يعتمد
bağlı	مرتبط
iyi	الغرامة
iyi	خير
iyi	طيب
iyi	الخير
iyi	جيد
iyi	غرامة
iyi	بخير
ne	شنو
ne	ماذا
ne	ما
ne	ايش
ilgili	مهتم
ilgili	مهتما
ilgili	مهتمة
ilgili	المهتمة
son	الاخير
son	اخير
son	اخر
son	نهاية
son	النهاية
son	تدوم
son	الاخيرة
alan	المنطقة
alan	حقل
alan	الميدان
alan	مساحة
alan	مجال
alan	منطقة
alan	النطاق
alan	الحقل
alan	المجال
alan	المساحة
alan	ميدان
dünya	الدنيا
dünya	العالمي
dünya	عالم
dünya	العالم
dünya	الارض
abd	امريكا
birlikte	سويا
birlikte	سوية
birlikte	معا
eski	قديمه
eski	قديم
eski	عجوز
eski	قديمة
eski	القديم
and	الانديز
önemli	ابرز
önemli	مهمة
önemli	هام
önemli	المهم
önemli	مهم
madde	الجوهر
madde	مسالة
madde	المسالة
madde	مواد
madde	بند
madde	المواد
madde	مقال
madde	مادة
madde	مقالة
madde	المقالة
madde	المادة
sağlık	الصحة
sağlık	طبية
sağlık	الطبي
sağlık	العافية
