در	கதவு
رده	வகுப்பு
از	முதல்
از	அனுப்புநர்
از	இருந்து
از	விட்டும்
که	என்று
که	யாரால்
که	யார்
که	யாரென்று
که	அந்த
این	இந்த
این	இது
را	என்ற
را	செய்ய
با	கொண்டு
با	உடன்
با	குல
با	இதனால்
میلادی	பத்தாண்டு
یک	ஒன்று
یک	ஒன்றை
یک	ஒரு
سال	சால்
سال	ஆண்டு
سال	ஸல்
سال	வருடங்கள்
سال	சல்
سال	வருடமும்
سال	ஆண்டுகள்
سال	வருடம்
آن	அன்னே
ایران	ஈரான்
برای	இதற்காக
برای	க்கு
برای	இதற்கு
برای	க்காக
شهرستان	வட்டாரம்
آمریکا	அமெரிக்கா
فهرست	பட்டியல்
بود	இருந்தது
دارد	கொண்டுள்ளது
او	இவள்
او	அவனுக்கு
او	அவரது
او	தன்
او	அவளை
او	அவரின்
او	அவருடைய
او	அவனது
او	அவனை
او	அவளின்
او	அவள்
او	அவர்
او	அவருக்கு
او	அவளுக்கு
او	அவரை
او	அவளது
تا	வரை
تا	வரையில்
تا	மே
تا	அதுவரை
وابسته	தொடர்புடைய
وابسته	பெயரடை
فوتبال	கால்பந்து
فوتبال	சாக்கர்
ساعت	கடிகாரம்
ساعت	மணி
ساعت	மணிநேரம்
ساعت	மணிகள்
پایه	பேஸ்
پایه	பேசிக்
پایه	அடிப்படையில்
پایه	அறக்கட்டளை
پایه	அடித்தளங்கள்
پایه	பவுண்டேஷன்
پایه	தளம்
پایه	அடிப்படை
پایه	அடித்தளம்
نام	பெயர்
استان	மாகாணம்
استان	பகுதி
استان	பிராந்தியம்
استان	மண்டலம்
شهر	ஊர்
شهر	நகரம்
شهر	டவுன்
شهر	சிட்டி
شهر	ஊருக்கு
ملی	தேசியக்
ملی	தேசிய
کشور	நாடு
کشور	நாட்டின்
تاریخ	தேதி
تاریخ	வரலாறு
تاریخ	சரித்திரம்
فیلم	மூவி
فیلم	திரைப்படங்கள்
فیلم	திரைப்படம்
بخش	பிரிவு
بخش	மாவட்ட
بخش	மாவட்டம்
بخش	துறை
جمعیت	மக்கள்தொகை
جمعیت	கூட்டமும்
جمعیت	கூட்டத்தை
جمعیت	கூட்டம்
دو	இருவர்
دو	இரண்டு
اثر	விளைவு
اثر	எபெக்ட்
پس	அப்போது
پس	அப்பொழுது
پس	பிறகு
پس	பின்னர்
پس	பின்பு
یکی	யாரோ
یکی	ஒன்று
یکی	ஒரு
یکی	யாரேனும்
یکی	ஒன்றை
بازیکنان	விளையாடுபவர்
بازیکنان	விளையாடுபவர்கள்
بازیکنان	போட்டியாளர்கள்
بازیکنان	வீரர்கள்
آثار	விளைவுகள்
وی	வெய்
وی	வெய்யில்
وی	வீ
روستاهای	கிராமங்கள்
روستاهای	கிராமங்களை
دیگر	பிற
دیگر	பிறரை
دیگر	மற்றுமொரு
دیگر	மற்றவர்கள்
دیگر	மற்ற
دیگر	மேலும்
دیگر	மற்றவை
دیگر	பலவற்றிற்கு
دیگر	அதிகம்
دیگر	மற்றொரு
دیگر	இன்னொரு
دیگر	பிறர்
دیگر	வேறு
دیگر	பேர்
می	மே
عنوان	தலைப்பு
پیوند	இணைக்கப்பட்டது
پیوند	இனைப்பு
پیوند	இணைப்பை
پیوند	இணைப்பு
پیوند	இணைப்பைப்
پیش	முன்னர்
پیش	முன்பு
پیش	முன்
بحث	கலந்துரையாடலை
بحث	கலந்துரையாடல்
بحث	விவாதம்
بیرون	வெளியில்
بیرون	அவுட்
بیرون	வெளியே
افراد	மக்களின்
افراد	மக்கள்
افراد	மக்களே
افراد	நபர்கள்
دوره	படிப்பு
دوره	ஊழி
دوره	காலத்தில்
دوره	காலம்
دهه	பத்தாண்டு
دهه	பத்தாண்டுகளாக
متر	மீட்டர்
کاربر	பயனர்
مناطق	மாவட்டங்கள்
مناطق	பகுதிகள்
مناطق	பகுதிகளில்
هر	ஒவ்வொரு
هر	ஏதேனும்
هر	எந்த
هر	ஏதாவது
باشگاه	மன்றம்
باشگاه	கிளப்
باشگاه	ஜிம்
دانشگاه	கல்லூரி
دانشگاه	கல்லூரியை
مورد	கேஸ்
مورد	வழக்கு
سده	நூற்றாண்டு
ثبت	லாக்
ثبت	பதிவேடு
زبان	மொழிகள்
زبان	நாக்கை
زبان	மொழி
زبان	நாக்கு
شماره	எண்ணை
شماره	எண்ணி
شماره	எண்
کار	வேலை
کار	பணி
کار	பணியை
اما	ஆனால்
اما	ஆனா
اما	ஆனாலும்
بازیگران	நடிகர்கள்
بازیگران	படப்பிடிப்பு
روی	துத்தநாக
روی	ராய்
صورت	முகம்
صورت	முக
مرکز	சென்ட்ரல்
مرکز	மையம்
مرکز	மத்திய
زمان	நேரம்
زمان	சமான்
زمان	காலம்
شرکت	நிறுவனம்
شرکت	பங்கேற்க
شرکت	நிறுவனமும்
شرکت	கார்ப்பரேட்
شرکت	கார்பரேட்
مقاله	கட்டுரை
مقاله	கட்டுரைகள்
تیم	அணி
تیم	டிம்
مرد	மனிதன்
مرد	மனிதனின்
مرد	மனிதா
مرد	மனிதனுக்கு
مرد	நாயகன்
انگلیسی	ஆங்கிலம்
نظر	கருத்து
نظر	கருத்தைப்
نظر	குறிப்புரை
نظر	கருத்தை
جهانی	உலக
جهانی	சர்வதேச
جهانی	அனைத்துலக
جهانی	உலகம்
جهانی	உலகளாவிய
جهانی	உலகமே
همچنین	அத்துடன்
همچنین	கூட
زندگی	வாழும்
زندگی	ஆயுள்
زندگی	வாழ்வது
زندگی	வசிக்கும்
زندگی	வாழ்ந்து
زندگی	உயிர்
زندگی	வாழ்க்கை
زن	மனைவியை
زن	பெண்ணின்
زن	மனைவிக்கும்
زن	பெண்
زن	மனைவியின்
زن	மனைவி
زیر	கீழே
زیر	கீழ்
زیر	அடியில்
آنها	அவர்களுக்கு
آنها	அவர்களை
آنها	அவர்கள்
آنها	இவர்களுக்கு
هستند	இருக்கிறார்கள்
جوایز	விருதுகள்
روستا	கிராம
روستا	கிராமத்திற்கு
روستا	கிராமத்தில்
روستا	கிராமம்
روستا	கிராமத்து
تهران	தெஹ்ரான்
بازی	ஆட்டத்தில்
بازی	விளையாட்டை
بازی	இயக்கு
بازی	விளையாட்டு
بازی	விளையாட்டைப்
بازی	இயக்கவும்
بازی	கேம்கள்
بازی	ஆட்டம்
بازی	கேம்
بازی	விளையாடு
بازی	கேம்ஸ்
بازی	விளையாட்டுக்கள்
بازی	விளையாட்டுகள்
تاریخی	வரலாற்றுச்
تاریخی	சரித்திர
تاریخی	வரலாற்று
سرشماری	கணக்கெடுப்பு
فرانسه	பிரான்சு
فرانسه	பிரான்ஸ்
فرانسه	பிரெஞ்சு
جنگ	போர்
جنگ	போர்க்
باید	வேண்டியது
دست	கைகள்
دست	கை
دست	கரங்கள்
دست	இடிக்க
دست	கைகோர்த்து
دست	கையோடு
شورای	மன்றம்
شورای	சபை
شورای	கவுன்சில்
محل	இடம்
محل	இடத்தில்
محل	இடத்தை
محل	இருப்பிடம்
محل	அமைவிடம்
توابع	செயற்பாடுகள்
توابع	செயல்கூறு
کتاب	புத்தகம்
کتاب	புத்தகங்கள்
کتاب	நூல்கள்
آلمان	ஜெர்மனி
آلمان	ஜெர்மன்
آلمان	ஜேர்மனி
سطح	நிலை
سطح	மேற்பரப்பு
سطح	மட்டம்
سطح	நிலைகள்
سطح	பரப்பு
اصلی	முதன்மை
اصلی	அசல்
اصلی	மெய்யான
اصلی	பிரதான
اصلی	மூல
اصلی	ஒரிஜினல்
اصلی	மூலம்
اصلی	முக்கிய
ساخت	கட்டுமானம்
ساخت	உற்பத்தி
ساخت	கட்டுமான
المپیک	ஒலிம்பிக்
المپیک	ஒலிம்பிக்ஸ்
المپیک	ஒலிம்பிக்கில்
اول	முதல்
اول	முதலாவது
اول	முதலில்
سازمان	நிறுவனம்
سازمان	முகமை
سازمان	ஏஜென்சி
سازمان	அமைப்பு
سازمان	நிறுவனர்
سه	மூன்று
مرکزی	மத்தியில்
مرکزی	சென்ட்ரல்
مرکزی	மத்திய
ایالت	நிலை
ایالت	மாநிலம்
زنده	உயிருடன்
زنده	உயிரோடு
فارسی	பாரசீக
بین	மொச்சை
بین	இடையே
بین	பீன்
بین	இடையிலான
بین	இடைப்பட்ட
انگلستان	இங்கிலாந்து
دوم	இரண்டாம்
دوم	இரண்டாவது
دوم	வினாடி
موسیقی	இசை
گروه	இசைக்குழு
گروه	குழுவை
گروه	குழு
گروه	குழுவைப்
گروه	பேண்ட்
جایزه	விருது
جایزه	பரிசு
جایزه	போனஸ்
بیشتر	பலவற்றிற்கு
بیشتر	அதிகம்
بیشتر	மேலும்
جنوبی	தெற்கு
جنوبی	தென்
جنوبی	தெற்கத்திய
روز	நாளும்
روز	நாள்
روز	தினம்
جمهوری	குடியரசு
مرگ	இறப்பு
مرگ	மரணத்தை
مرگ	மறைவு
مرگ	மரணம்
ولی	ஆனால்
ولی	ஆனா
